,none,undersampling,oversampling,hybrid,avg
14yr,0.9443,0.8746,0.4808,0.3449,0.6612
12yr,0.8328,0.8223,0.4111,0.3031,0.5923
10yr,0.7979,0.8571,0.4634,0.2683,0.5967
8yr,0.8397,0.8293,0.3624,0.2578,0.5723
6yr,0.8711,0.7909,0.3763,0.3275,0.5915
4yr,0.9512,0.8188,0.5017,0.3624,0.6585
2yr,0.8606,0.9930,0.4390,0.3206,0.6533
avg,0.8711,0.8552,0.4335,0.3121,0.6180
