,none,undersampling,oversampling,hybrid
1yr,0.0000,0.0427,0.1582,0.1791
2yr,0.0083,0.0217,0.1516,0.2005
3yr,0.0330,0.0503,0.1857,0.2006
4yr,0.0427,0.0421,0.1793,0.2022
5yr,0.0155,0.0700,0.1872,0.2087
6yr,0.0217,0.0286,0.1981,0.2127
7yr,0.0046,0.0182,0.1897,0.2122
avg,0.0180,0.0391,0.1785,0.2023
