,none,undersampling,oversampling,hybrid
1yr,1.0000,0.9778,0.8011,0.6461
2yr,0.9958,0.9889,0.8094,0.5999
3yr,0.9829,0.9737,0.7222,0.6174
4yr,0.9778,0.9778,0.7263,0.5939
5yr,0.9922,0.9622,0.7024,0.5219
6yr,0.9889,0.9852,0.6479,0.5371
7yr,0.9977,0.9908,0.7213,0.5611
avg,0.9908,0.9795,0.7329,0.5825
