,none,undersampling,oversampling,hybrid,avg
2+14,0.8920,0.8955,0.5436,0.3728,0.6760
4+12,0.9268,0.9094,0.4669,0.3519,0.6637
6+10,0.9094,0.9094,0.4460,0.3415,0.6516
8+8,0.9094,0.8780,0.4878,0.3519,0.6568
10+6,1.0000,0.9024,0.4948,0.3380,0.6838
12+4,0.8815,0.8780,0.4460,0.3171,0.6307
14+2,0.9373,0.9408,0.4774,0.3728,0.6821
avg,0.9223,0.9019,0.4803,0.3494,0.6635
