,none,undersampling,oversampling,hybrid,avg
2+14,0.3274,0.3221,0.6084,0.6736,0.4829
4+12,0.2697,0.3002,0.6458,0.6972,0.4782
6+10,0.3000,0.2999,0.6611,0.6943,0.4888
8+8,0.3000,0.3475,0.6388,0.6831,0.4924
10+6,0.0000,0.3112,0.6260,0.6840,0.4053
12+4,0.3428,0.3475,0.6453,0.6922,0.5070
14+2,0.2496,0.2427,0.6292,0.6850,0.4516
avg,0.2556,0.3102,0.6364,0.6871,0.4723
