,none,undersampling,oversampling,hybrid,avg
14yr,0.0894,0.1633,0.1004,0.1010,0.1135
12yr,0.2043,0.2052,0.1052,0.1042,0.1547
10yr,0.2311,0.1802,0.1180,0.1162,0.1614
8yr,0.2035,0.2168,0.1090,0.1047,0.1585
6yr,0.1758,0.2395,0.1187,0.1164,0.1626
4yr,0.0800,0.2199,0.1283,0.1432,0.1429
2yr,0.1724,0.0129,0.1119,0.1211,0.1046
avg,0.1652,0.1768,0.1131,0.1153,0.1426
