,none,undersampling,oversampling,hybrid,avg
2yr,0.0000,0.0000,0.0468,0.0428,0.0224
4yr,0.0000,0.0000,0.0446,0.0429,0.0219
6yr,0.0314,0.0000,0.0452,0.0522,0.0322
8yr,0.0231,0.0063,0.0511,0.0610,0.0354
10yr,0.0000,0.0000,0.0736,0.0785,0.0380
12yr,0.0000,0.1160,0.0795,0.0848,0.0701
14yr,0.1309,0.1196,0.0922,0.0937,0.1091
avg,0.0265,0.0346,0.0619,0.0651,0.0470
