dataset,split,ensemble,sampling_col,subset,subset_indices,AUC,F1,Recall
1+7,split_1+7,DCS_OLA,pool6_xgb,,,0.5931,0.1108,0.0771
1+7,split_1+7,DCS_LCA,pool6_xgb,,,0.5931,0.0836,0.0535
1+7,split_1+7,DCS_OLA_TW,pool6_xgb,,,0.6006,0.1092,0.0757
1+7,split_1+7,DCS_LCA_TW,pool6_xgb,,,0.5928,0.0837,0.0540
2+6,split_2+6,DCS_OLA,pool6_xgb,,,0.5946,0.1187,0.0849
2+6,split_2+6,DCS_LCA,pool6_xgb,,,0.6041,0.0913,0.0595
2+6,split_2+6,DCS_OLA_TW,pool6_xgb,,,0.6066,0.1163,0.0835
2+6,split_2+6,DCS_LCA_TW,pool6_xgb,,,0.6015,0.0956,0.0637
3+5,split_3+5,DCS_OLA,pool6_xgb,,,0.5960,0.1187,0.0849
3+5,split_3+5,DCS_LCA,pool6_xgb,,,0.6044,0.0834,0.0540
3+5,split_3+5,DCS_OLA_TW,pool6_xgb,,,0.6099,0.1217,0.0881
3+5,split_3+5,DCS_LCA_TW,pool6_xgb,,,0.6043,0.0940,0.0623
4+4,split_4+4,DCS_OLA,pool6_xgb,,,0.5957,0.1095,0.0775
4+4,split_4+4,DCS_LCA,pool6_xgb,,,0.6047,0.0878,0.0572
4+4,split_4+4,DCS_OLA_TW,pool6_xgb,,,0.6082,0.1178,0.0868
4+4,split_4+4,DCS_LCA_TW,pool6_xgb,,,0.5987,0.0993,0.0678
5+3,split_5+3,DCS_OLA,pool6_xgb,,,0.6004,0.1051,0.0729
5+3,split_5+3,DCS_LCA,pool6_xgb,,,0.5988,0.0756,0.0480
5+3,split_5+3,DCS_OLA_TW,pool6_xgb,,,0.6094,0.1121,0.0817
5+3,split_5+3,DCS_LCA_TW,pool6_xgb,,,0.5959,0.0942,0.0641
6+2,split_6+2,DCS_OLA,pool6_xgb,,,0.5993,0.1124,0.0784
6+2,split_6+2,DCS_LCA,pool6_xgb,,,0.6082,0.0921,0.0591
6+2,split_6+2,DCS_OLA_TW,pool6_xgb,,,0.6072,0.1209,0.0891
6+2,split_6+2,DCS_LCA_TW,pool6_xgb,,,0.5983,0.1104,0.0780
7+1,split_7+1,DCS_OLA,pool6_xgb,,,0.6074,0.1165,0.0794
7+1,split_7+1,DCS_LCA,pool6_xgb,,,0.6037,0.0879,0.0554
7+1,split_7+1,DCS_OLA_TW,pool6_xgb,,,0.6035,0.1196,0.0844
7+1,split_7+1,DCS_LCA_TW,pool6_xgb,,,0.6000,0.1069,0.0734
