test_feature_year,test_event_year,validation_feature_year,validation_event_year,method,n_validation,n_validation_positive,n_test,n_test_positive,prevalence,f1_threshold_from_validation,fpr5_threshold_from_validation,validation_AUC,validation_PR_AUC,validation_F1,validation_G_Mean,validation_Recall,validation_Precision,validation_Balanced_Accuracy,validation_Cohen_Kappa,validation_Type1_Error,validation_Type2_Error,validation_Recall_at_5pctFPR,validation_Precision_at_5pctFPR,validation_Realized_FPR_at_5pctFPR,validation_Alerts_at_5pctFPR,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,Alerts_at_5pctFPR,seed,protocol_version,imbalance_method,window_years
2009,2010,2008,2009,B_model_FIFO3_equal,3857,58,3743,23,0.00614480363345,0.14,0.0467652864754,0.812278185729,0.0980439523746,0.220588235294,0.504313297688,0.258620689655,0.192307692308,0.621018689129,0.206908190819,0.0165833113977,0.741379310345,0.413793103448,0.121212121212,0.0458015267176,198,0.775292192613,0.0760964165462,0.1,0.294288787763,0.0869565217391,0.117647058824,0.541462131837,0.0952745437699,0.00403225806452,0.913043478261,0.173913043478,0.0625,0.0161290322581,64,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2010,2011,2009,2010,B_model_FIFO3_equal,3743,23,3625,35,0.00965517241379,0.2,0.0208801385015,0.792554932211,0.109829212245,0.1875,0.360866185624,0.130434782609,0.333333333333,0.564410939691,0.184681892059,0.00161290322581,0.869565217391,0.304347826087,0.0569105691057,0.0311827956989,123,0.872208515718,0.108505716247,0.102564102564,0.238979126038,0.0571428571429,0.5,0.528292877039,0.100783160282,0.000557103064067,0.942857142857,0.171428571429,0.0674157303371,0.0231197771588,89,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2011,2012,2010,2011,B_model_FIFO3_equal,3625,35,3513,25,0.00711642470823,0.04,0.00712642306462,0.828842021488,0.0832118563401,0.117647058824,0.336693502941,0.114285714286,0.121212121212,0.553103859928,0.109300135141,0.00807799442897,0.885714285714,0.314285714286,0.0628571428571,0.0456824512535,175,0.868474770642,0.164227667631,0.171428571429,0.487151427958,0.24,0.133333333333,0.61440940367,0.16377739473,0.0111811926606,0.76,0.36,0.0523255813953,0.0467316513761,172,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2012,2013,2011,2012,B_model_FIFO3_equal,3513,25,3485,26,0.00746054519369,0.18,0.010195877403,0.870951834862,0.26201538024,0.322580645161,0.447149483451,0.2,0.833333333333,0.599856651376,0.320709372669,0.000286697247706,0.8,0.44,0.102803738318,0.0275229357798,107,0.926790757667,0.191929738837,0.1875,0.339535774253,0.115384615385,0.5,0.557258656348,0.185220487735,0.000867302688638,0.884615384615,0.5,0.0977443609023,0.0346921075455,133,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2013,2014,2012,2013,B_model_FIFO3_equal,3485,26,3484,28,0.00803673938002,0.1,0.00973723363131,0.919585473792,0.266572473544,0.363636363636,0.553897794248,0.307692307692,0.444444444444,0.652400649365,0.359728091126,0.00289100896213,0.692307692308,0.576923076923,0.108695652174,0.0355594102342,138,0.840246775794,0.0773736036083,0.111111111111,0.267029143526,0.0714285714286,0.25,0.534846230159,0.107924721547,0.00173611111111,0.928571428571,0.25,0.0598290598291,0.0318287037037,117,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2014,2015,2013,2014,B_model_FIFO3_equal,3484,28,3504,33,0.00941780821918,0.2,0.00837631430477,0.852843915344,0.114447623462,0.181818181818,0.327232109021,0.107142857143,0.6,0.55328207672,0.179820737279,0.000578703703704,0.892857142857,0.428571428571,0.0869565217391,0.0364583333333,138,0.858009655762,0.0872601812898,0.2,0.388576029583,0.151515151515,0.294117647059,0.574028967287,0.194843690759,0.00345721694036,0.848484848485,0.30303030303,0.0591715976331,0.0458081244598,169,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2015,2016,2014,2015,B_model_FIFO3_equal,3504,33,3354,33,0.00983899821109,0.07,0.00809902697802,0.875601302568,0.100695705988,0.222222222222,0.45903771789,0.212121212121,0.233333333333,0.602747439826,0.215182930174,0.00662633246903,0.787878787879,0.424242424242,0.0864197530864,0.0426390089311,162,0.864945753835,0.223378134961,0.282051282051,0.574387244474,0.333333333333,0.244444444444,0.661547726588,0.2738070383,0.0102378801566,0.666666666667,0.545454545455,0.0918367346939,0.0535983137609,196,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2016,2017,2015,2016,B_model_FIFO3_equal,3354,33,3191,29,0.00908806016923,0.05,0.013136533089,0.859334081556,0.226415879701,0.285714285714,0.59947144878,0.363636363636,0.235294117647,0.675946456434,0.277077271258,0.0117434507678,0.636363636364,0.515151515152,0.112582781457,0.0403492923818,151,0.890292045628,0.181252676252,0.289855072464,0.58442790593,0.344827586207,0.25,0.667669960086,0.282292675538,0.00948766603416,0.655172413793,0.448275862069,0.1,0.0370018975332,130,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2017,2018,2016,2017,B_model_FIFO3_equal,3191,29,3014,21,0.00696748506967,0.07,0.0109634334221,0.881873105193,0.159272417786,0.269230769231,0.490059087927,0.241379310345,0.304347826087,0.618159610897,0.263308181144,0.00506008855155,0.758620689655,0.413793103448,0.0863309352518,0.0401644528779,139,0.850476508679,0.0665712377511,0.1,0.307729021209,0.0952380952381,0.105263157895,0.544779087713,0.0940031061606,0.0056799198129,0.904761904762,0.333333333333,0.0693069306931,0.031406615436,101,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
2018,2019,2017,2018,B_model_FIFO3_equal,3014,21,2723,36,0.0132207124495,0.02,0.00678854109719,0.850237856586,0.112235875038,0.192771084337,0.611620144105,0.380952380952,0.129032258065,0.681455141362,0.184280047504,0.0180420982292,0.619047619048,0.428571428571,0.0647482014388,0.0434346809222,139,0.804470082289,0.218812744754,0.243902439024,0.636790231383,0.416666666667,0.172413793103,0.694935491874,0.229492035964,0.0267956829178,0.583333333333,0.5,0.117647058824,0.0502419054708,153,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
