split,fs,ensemble,AUC,F1,Recall
split_4+12,shap_r50,DCS_OLA_TW,0.739342,0.156104,0.407666
split_4+12,shap_r50,DCS_LCA_TW,0.731004,0.176471,0.303136
split_4+12,shap_r80,DCS_OLA,0.730039,0.160862,0.337979
split_4+12,shap_r80,DCS_LCA,0.738446,0.196185,0.250871
split_4+12,shap_r80,DCS_OLA_TW,0.754243,0.169059,0.369338
split_4+12,shap_r80,DCS_LCA_TW,0.745713,0.192440,0.292683
split_5+11,no_fs,DCS_OLA,0.768990,0.185550,0.393728
split_5+11,no_fs,DCS_LCA,0.757330,0.214477,0.278746
split_5+11,no_fs,DCS_OLA_TW,0.784335,0.189103,0.411150
split_5+11,no_fs,DCS_LCA_TW,0.784101,0.210066,0.334495
split_5+11,mutual_info_r50,DCS_OLA,0.756142,0.163408,0.407666
split_5+11,mutual_info_r50,DCS_LCA,0.732622,0.219883,0.327526
split_5+11,mutual_info_r50,DCS_OLA_TW,0.774288,0.179125,0.463415
split_5+11,mutual_info_r50,DCS_LCA_TW,0.753043,0.206628,0.369338
split_5+11,mutual_info_r80,DCS_OLA,0.749719,0.165653,0.379791
split_5+11,mutual_info_r80,DCS_LCA,0.744618,0.193464,0.257840
split_5+11,mutual_info_r80,DCS_OLA_TW,0.776611,0.177215,0.414634
split_5+11,mutual_info_r80,DCS_LCA_TW,0.773077,0.189362,0.310105
split_5+11,shap_r50,DCS_OLA,0.738847,0.143515,0.379791
split_5+11,shap_r50,DCS_LCA,0.712583,0.178654,0.268293
split_5+11,shap_r50,DCS_OLA_TW,0.757329,0.151324,0.418118
split_5+11,shap_r50,DCS_LCA_TW,0.734415,0.179364,0.324042
split_5+11,shap_r80,DCS_OLA,0.763753,0.171607,0.383275
split_5+11,shap_r80,DCS_LCA,0.759924,0.215661,0.292683
split_5+11,shap_r80,DCS_OLA_TW,0.774882,0.184524,0.432056
split_5+11,shap_r80,DCS_LCA_TW,0.770926,0.198506,0.324042
split_6+10,no_fs,DCS_OLA,0.772509,0.166804,0.351916
split_6+10,no_fs,DCS_LCA,0.765255,0.202216,0.254355
split_6+10,no_fs,DCS_OLA_TW,0.783092,0.171474,0.372822
split_6+10,no_fs,DCS_LCA_TW,0.782994,0.178495,0.289199
split_6+10,mutual_info_r50,DCS_OLA,0.732830,0.164514,0.421603
split_6+10,mutual_info_r50,DCS_LCA,0.729605,0.179931,0.271777
split_6+10,mutual_info_r50,DCS_OLA_TW,0.758001,0.178905,0.466899
split_6+10,mutual_info_r50,DCS_LCA_TW,0.736270,0.168279,0.303136
split_6+10,mutual_info_r80,DCS_OLA,0.763247,0.176647,0.411150
split_6+10,mutual_info_r80,DCS_LCA,0.765280,0.219388,0.299652
split_6+10,mutual_info_r80,DCS_OLA_TW,0.779407,0.177347,0.414634
split_6+10,mutual_info_r80,DCS_LCA_TW,0.773254,0.197183,0.341463
split_6+10,shap_r50,DCS_OLA,0.747566,0.150495,0.397213
split_6+10,shap_r50,DCS_LCA,0.737331,0.185682,0.289199
split_6+10,shap_r50,DCS_OLA_TW,0.777918,0.168597,0.456446
split_6+10,shap_r50,DCS_LCA_TW,0.773065,0.187785,0.358885
split_6+10,shap_r80,DCS_OLA,0.771663,0.177515,0.418118
split_6+10,shap_r80,DCS_LCA,0.751511,0.204030,0.282230
split_6+10,shap_r80,DCS_OLA_TW,0.784221,0.180270,0.442509
split_6+10,shap_r80,DCS_LCA_TW,0.772204,0.183299,0.313589
split_7+9,no_fs,DCS_OLA,0.775137,0.185277,0.390244
split_7+9,no_fs,DCS_LCA,0.774968,0.226667,0.296167
