split,dataset,fs,n_features,ensemble,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_1+15,1+15,shap_r50,9,Old_hybrid_New_hybrid,ensemble,0.753783,0.110781,0.649313,0.519164,0.062006,0.187912,0.480836
split_1+15,1+15,shap_r80,15,Old,under,0.494101,0.045161,0.380299,0.170732,0.026022,0.152897,0.829268
split_1+15,1+15,shap_r80,15,New,under,0.810482,0.158405,0.656247,0.484321,0.094687,0.110796,0.515679
split_1+15,1+15,shap_r80,15,Old,over,0.538840,0.051234,0.403485,0.191638,0.029570,0.150479,0.808362
split_1+15,1+15,shap_r80,15,New,over,0.761094,0.154806,0.623824,0.432056,0.094297,0.099291,0.567944
split_1+15,1+15,shap_r80,15,Old,hybrid,0.571690,0.062004,0.489562,0.299652,0.034580,0.200167,0.700348
split_1+15,1+15,shap_r80,15,New,hybrid,0.803377,0.187986,0.651900,0.463415,0.117908,0.082951,0.536585
split_1+15,1+15,shap_r80,15,Old_3,ensemble,0.548736,0.056022,0.447602,0.243902,0.031646,0.178574,0.756098
split_1+15,1+15,shap_r80,15,New_3,ensemble,0.823768,0.173968,0.656922,0.477352,0.106366,0.095957,0.522648
split_1+15,1+15,shap_r80,15,All_6,ensemble,0.778425,0.123192,0.627556,0.459930,0.071121,0.143727,0.540070
split_1+15,1+15,shap_r80,15,Old_under_New_under,ensemble,0.785816,0.156839,0.635157,0.449477,0.094993,0.102459,0.550523
split_1+15,1+15,shap_r80,15,Old_hybrid_New_hybrid,ensemble,0.755221,0.111714,0.688461,0.609756,0.061490,0.222676,0.390244
split_2+14,2+14,no_fs,19,Old,under,0.548252,0.061824,0.425767,0.209059,0.036276,0.132889,0.790941
split_2+14,2+14,no_fs,19,New,under,0.813530,0.185666,0.657802,0.473868,0.115450,0.086870,0.526132
split_2+14,2+14,no_fs,19,Old,over,0.570736,0.055840,0.449803,0.247387,0.031472,0.182159,0.752613
split_2+14,2+14,no_fs,19,New,over,0.782794,0.142570,0.655974,0.494774,0.083284,0.130304,0.505226
split_2+14,2+14,no_fs,19,Old,hybrid,0.634153,0.070338,0.572379,0.449477,0.038154,0.271113,0.550523
split_2+14,2+14,no_fs,19,New,hybrid,0.820502,0.173238,0.672989,0.505226,0.104542,0.103543,0.494774
split_2+14,2+14,no_fs,19,Old_3,ensemble,0.611501,0.066122,0.491805,0.296167,0.037215,0.183326,0.703833
split_2+14,2+14,no_fs,19,New_3,ensemble,0.833463,0.184597,0.699794,0.547038,0.111033,0.104794,0.452962
split_2+14,2+14,no_fs,19,All_6,ensemble,0.797637,0.132976,0.664109,0.519164,0.076254,0.150479,0.480836
split_2+14,2+14,no_fs,19,Old_under_New_under,ensemble,0.793452,0.156682,0.649613,0.473868,0.093858,0.109462,0.526132
split_2+14,2+14,no_fs,19,Old_hybrid_New_hybrid,ensemble,0.784584,0.129202,0.612529,0.428571,0.076067,0.124552,0.571429
split_2+14,2+14,mutual_info_r50,9,Old,under,0.535063,0.049730,0.466519,0.289199,0.027204,0.247436,0.710801
split_2+14,2+14,mutual_info_r50,9,New,under,0.829045,0.183731,0.646598,0.456446,0.115013,0.084035,0.543554
split_2+14,2+14,mutual_info_r50,9,Old,over,0.521358,0.047337,0.470282,0.306620,0.025648,0.278699,0.693380
split_2+14,2+14,mutual_info_r50,9,New,over,0.791184,0.131789,0.690335,0.574913,0.074425,0.171071,0.425087
split_2+14,2+14,mutual_info_r50,9,Old,hybrid,0.539830,0.045505,0.353981,0.142857,0.027063,0.122885,0.857143
split_2+14,2+14,mutual_info_r50,9,New,hybrid,0.818065,0.162745,0.708429,0.578397,0.094695,0.132305,0.421603
split_2+14,2+14,mutual_info_r50,9,Old_3,ensemble,0.538143,0.049213,0.386779,0.174216,0.028653,0.141309,0.825784
split_2+14,2+14,mutual_info_r50,9,New_3,ensemble,0.833048,0.149960,0.736099,0.651568,0.084730,0.168404,0.348432
split_2+14,2+14,mutual_info_r50,9,All_6,ensemble,0.776086,0.124294,0.685073,0.574913,0.069679,0.183660,0.425087
split_2+14,2+14,mutual_info_r50,9,Old_under_New_under,ensemble,0.796847,0.131304,0.666678,0.526132,0.075012,0.155231,0.473868
split_2+14,2+14,mutual_info_r50,9,Old_hybrid_New_hybrid,ensemble,0.751080,0.115715,0.662835,0.540070,0.064799,0.186494,0.459930
split_2+14,2+14,mutual_info_r80,15,Old,under,0.551431,0.050068,0.341346,0.128920,0.031066,0.096207,0.871080
split_2+14,2+14,mutual_info_r80,15,New,under,0.835754,0.192666,0.698231,0.540070,0.117247,0.097291,0.459930
split_2+14,2+14,mutual_info_r80,15,Old,over,0.546304,0.052976,0.482659,0.310105,0.028962,0.248770,0.689895
split_2+14,2+14,mutual_info_r80,15,New,over,0.788807,0.130283,0.694055,0.585366,0.073298,0.177074,0.414634
split_2+14,2+14,mutual_info_r80,15,Old,hybrid,0.594847,0.057298,0.500045,0.331010,0.031363,0.244602,0.668990
split_2+14,2+14,mutual_info_r80,15,New,hybrid,0.825039,0.213953,0.667953,0.480836,0.137587,0.072113,0.519164
split_2+14,2+14,mutual_info_r80,15,Old_3,ensemble,0.579882,0.058714,0.471070,0.275261,0.032862,0.193831,0.724739
split_2+14,2+14,mutual_info_r80,15,New_3,ensemble,0.844160,0.155287,0.757177,0.693380,0.087434,0.173155,0.306620
split_2+14,2+14,mutual_info_r80,15,All_6,ensemble,0.798532,0.137049,0.668064,0.522648,0.078864,0.146061,0.477352
split_2+14,2+14,mutual_info_r80,15,Old_under_New_under,ensemble,0.810530,0.174785,0.624587,0.425087,0.110009,0.082284,0.574913
split_2+14,2+14,mutual_info_r80,15,Old_hybrid_New_hybrid,ensemble,0.774784,0.124510,0.618485,0.442509,0.072447,0.135556,0.557491
split_2+14,2+14,shap_r50,9,Old,under,0.508315,0.043177,0.398127,0.195122,0.024274,0.187662,0.804878
split_2+14,2+14,shap_r50,9,New,under,0.832447,0.243167,0.652156,0.449477,0.166667,0.053772,0.550523
split_2+14,2+14,shap_r50,9,Old,over,0.508168,0.045848,0.392822,0.184669,0.026173,0.164402,0.815331
split_2+14,2+14,shap_r50,9,New,over,0.792942,0.143161,0.702164,0.585366,0.081553,0.157732,0.414634
split_2+14,2+14,shap_r50,9,Old,hybrid,0.544376,0.056595,0.427614,0.216028,0.032563,0.153564,0.783972
split_2+14,2+14,shap_r50,9,New,hybrid,0.819800,0.185071,0.686337,0.522648,0.112444,0.098708,0.477352
split_2+14,2+14,shap_r50,9,Old_3,ensemble,0.535711,0.045956,0.384065,0.174216,0.026469,0.153314,0.825784
split_2+14,2+14,shap_r50,9,New_3,ensemble,0.838244,0.190535,0.693743,0.533101,0.115997,0.097207,0.466899
split_2+14,2+14,shap_r50,9,All_6,ensemble,0.780550,0.130299,0.657292,0.508711,0.074719,0.150729,0.491289
split_2+14,2+14,shap_r50,9,Old_under_New_under,ensemble,0.795401,0.149929,0.690395,0.554007,0.086696,0.139642,0.445993
split_2+14,2+14,shap_r50,9,Old_hybrid_New_hybrid,ensemble,0.758091,0.120752,0.660033,0.526132,0.068202,0.171988,0.473868
split_2+14,2+14,shap_r80,15,Old,under,0.496746,0.045772,0.335207,0.125436,0.027994,0.104210,0.874564
split_2+14,2+14,shap_r80,15,New,under,0.837045,0.207143,0.681509,0.505226,0.130279,0.080700,0.494774
split_2+14,2+14,shap_r80,15,Old,over,0.538010,0.054244,0.461448,0.268293,0.030172,0.206336,0.731707
split_2+14,2+14,shap_r80,15,New,over,0.792566,0.143049,0.688693,0.557491,0.082051,0.149229,0.442509
split_2+14,2+14,shap_r80,15,Old,hybrid,0.603712,0.050321,0.377915,0.163763,0.029728,0.127887,0.836237
split_2+14,2+14,shap_r80,15,New,hybrid,0.828662,0.195157,0.662082,0.477352,0.122650,0.081701,0.522648
split_2+14,2+14,shap_r80,15,Old_3,ensemble,0.576613,0.054376,0.430998,0.222997,0.030963,0.166986,0.777003
split_2+14,2+14,shap_r80,15,New_3,ensemble,0.844629,0.179751,0.714968,0.578397,0.106410,0.116215,0.421603
split_2+14,2+14,shap_r80,15,All_6,ensemble,0.800202,0.134964,0.665183,0.519164,0.077564,0.147728,0.480836
split_2+14,2+14,shap_r80,15,Old_under_New_under,ensemble,0.807426,0.154774,0.683588,0.536585,0.090429,0.129137,0.463415
split_2+14,2+14,shap_r80,15,Old_hybrid_New_hybrid,ensemble,0.779086,0.126221,0.691131,0.585366,0.070737,0.183993,0.414634
split_3+13,3+13,no_fs,19,Old,under,0.560213,0.046003,0.350666,0.139373,0.027548,0.117716,0.860627
split_3+13,3+13,no_fs,19,New,under,0.816263,0.193115,0.611833,0.400697,0.127212,0.065777,0.599303
split_3+13,3+13,no_fs,19,Old,over,0.575457,0.049594,0.410482,0.202091,0.028265,0.166236,0.797909
split_3+13,3+13,no_fs,19,New,over,0.784580,0.132098,0.688931,0.571429,0.074681,0.169404,0.428571
split_3+13,3+13,no_fs,19,Old,hybrid,0.606660,0.061258,0.531735,0.386760,0.033263,0.268945,0.613240
split_3+13,3+13,no_fs,19,New,hybrid,0.818584,0.185118,0.692236,0.533101,0.112006,0.101125,0.466899
