new_years,none,undersampling,oversampling,hybrid,avg
7yr,0.6581,0.6597,0.6593,0.6634,0.6602
6yr,0.6598,0.6588,0.6612,0.6613,0.6603
5yr,0.6575,0.6583,0.6635,0.6629,0.6606
4yr,0.6559,0.6553,0.6567,0.6565,0.6561
3yr,0.6529,0.6532,0.6498,0.6558,0.6529
2yr,0.6424,0.6434,0.6540,0.6519,0.6479
1yr,0.6202,0.6253,0.6315,0.6409,0.6295
avg,0.6495,0.6506,0.6537,0.6561,0.6525
