,AUC,F1,G_Mean,Recall,Precision
retrain,0.8046903980026522,0.13363705391040243,0.7086951102432456,0.6132404181184669,0.0749893481039625
finetune,0.8551745573431438,0.19358669833729217,0.7138041085824854,0.5679442508710801,0.11667859699355762
ensemble_old,0.8086293214507206,0.1327088212334114,0.6988460776231505,0.5923344947735192,0.07472527472527472
