new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.5923,0.4843,0.3833,0.5958,0.5139
14yr,0.5087,0.6028,0.5122,0.4739,0.5244
13yr,0.4913,0.5296,0.5819,0.4181,0.5052
12yr,0.4634,0.4913,0.5679,0.5296,0.5131
11yr,0.4355,0.5087,0.4146,0.4913,0.4625
10yr,0.5470,0.4634,0.3345,0.4599,0.4512
9yr,0.3972,0.3589,0.4808,0.4181,0.4138
8yr,0.3972,0.2787,0.3380,0.4704,0.3711
7yr,0.3275,0.5122,0.5087,0.4530,0.4503
6yr,0.2962,0.4077,0.3833,0.4460,0.3833
5yr,0.3972,0.3206,0.3868,0.5889,0.4233
4yr,0.4251,0.4495,0.2613,0.4948,0.4077
3yr,0.3275,0.3554,0.3868,0.4355,0.3763
2yr,0.5470,0.3937,0.3972,0.4704,0.4521
1yr,0.3066,0.3693,0.3275,0.4007,0.3510
avg,0.4307,0.4351,0.4177,0.4764,0.4400
