new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.4077,0.5157,0.6167,0.4042,0.4861
14yr,0.4913,0.3972,0.4878,0.5261,0.4756
13yr,0.5087,0.4704,0.4181,0.5819,0.4948
12yr,0.5366,0.5087,0.4321,0.4704,0.4869
11yr,0.5645,0.4913,0.5854,0.5087,0.5375
10yr,0.4530,0.5366,0.6655,0.5401,0.5488
9yr,0.6028,0.6411,0.5192,0.5819,0.5862
8yr,0.6028,0.7213,0.6620,0.5296,0.6289
7yr,0.6725,0.4878,0.4913,0.5470,0.5497
6yr,0.7038,0.5923,0.6167,0.5540,0.6167
5yr,0.6028,0.6794,0.6132,0.4111,0.5767
4yr,0.5749,0.5505,0.7387,0.5052,0.5923
3yr,0.6725,0.6446,0.6132,0.5645,0.6237
2yr,0.4530,0.6063,0.6028,0.5296,0.5479
1yr,0.6934,0.6307,0.6725,0.5993,0.6490
avg,0.5693,0.5649,0.5823,0.5236,0.5600
