new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1435,0.1494,0.1082,0.1442,0.1363
14yr,0.1869,0.1526,0.1120,0.1611,0.1532
13yr,0.1812,0.1810,0.1348,0.1549,0.1630
12yr,0.1784,0.1662,0.1168,0.1525,0.1534
11yr,0.2376,0.2297,0.1610,0.2132,0.2104
10yr,0.1798,0.2014,0.1710,0.1835,0.1839
9yr,0.2879,0.2479,0.1453,0.1922,0.2183
8yr,0.2153,0.1909,0.1869,0.2104,0.2009
7yr,0.2544,0.2498,0.1598,0.1932,0.2143
6yr,0.2493,0.2629,0.2070,0.2097,0.2322
5yr,0.2553,0.2805,0.1658,0.1842,0.2214
4yr,0.2898,0.2552,0.2049,0.2158,0.2414
3yr,0.2888,0.2822,0.2090,0.2404,0.2551
2yr,0.2324,0.2562,0.2121,0.2493,0.2375
1yr,0.3265,0.2986,0.2347,0.1941,0.2635
avg,0.2338,0.2270,0.1686,0.1932,0.2057
