old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.2404,0.1429,0.4286,0.1080,0.2300
2yr,0.3763,0.2334,0.4181,0.3275,0.3389
3yr,0.1777,0.4146,0.3554,0.2091,0.2892
4yr,0.4390,0.5714,0.4007,0.3972,0.4521
5yr,0.4669,0.6237,0.1916,0.3415,0.4059
6yr,0.3972,0.6481,0.3275,0.4042,0.4443
7yr,0.6341,0.4808,0.5889,0.4425,0.5366
8yr,0.4495,0.6376,0.4425,0.4216,0.4878
9yr,0.5122,0.6202,0.7108,0.5122,0.5889
10yr,0.4808,0.7247,0.3171,0.4495,0.4930
11yr,0.5610,0.7003,0.3868,0.5122,0.5401
12yr,0.5540,0.6063,0.3484,0.4808,0.4974
13yr,0.6899,0.5819,0.5157,0.4878,0.5688
14yr,0.5923,0.7944,0.4530,0.3902,0.5575
15yr,0.4774,0.6760,0.5366,0.4495,0.5348
avg,0.4699,0.5638,0.4281,0.3956,0.4643
