split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_7+9,New,undersampling,0.810475,0.247894,0.587955,0.358885,0.189338,0.036765,0.641115
split_7+9,New,oversampling,0.778402,0.145263,0.649391,0.480836,0.085555,0.122968,0.519164
split_7+9,New,hybrid,0.839198,0.192154,0.623513,0.418118,0.124740,0.070196,0.581882
split_8+8,Old,none,0.706628,0.099729,0.606733,0.449477,0.056087,0.180992,0.550523
split_8+8,Old,undersampling,0.760908,0.097809,0.680953,0.637631,0.052967,0.272780,0.362369
split_8+8,Old,oversampling,0.661704,0.076645,0.579245,0.442509,0.041956,0.241767,0.557491
split_8+8,Old,hybrid,0.712097,0.088064,0.582543,0.421603,0.049167,0.195081,0.578397
split_8+8,New,none,0.830413,0.215297,0.612718,0.397213,0.147668,0.054856,0.602787
split_8+8,New,undersampling,0.813944,0.190931,0.517494,0.278746,0.145191,0.039266,0.721254
split_8+8,New,oversampling,0.819108,0.186898,0.565289,0.337979,0.129161,0.054523,0.662021
split_8+8,New,hybrid,0.845191,0.210444,0.660772,0.470383,0.135542,0.071780,0.529617
split_9+7,Old,none,0.767124,0.146633,0.667167,0.512195,0.085565,0.130971,0.487805
split_9+7,Old,undersampling,0.788895,0.130642,0.709475,0.620209,0.073011,0.188412,0.379791
split_9+7,Old,oversampling,0.696250,0.075612,0.648182,0.710801,0.039930,0.408920,0.289199
split_9+7,Old,hybrid,0.711848,0.091304,0.627081,0.512195,0.050119,0.232263,0.487805
split_9+7,New,none,0.836250,0.254398,0.563694,0.327526,0.207965,0.029846,0.672474
split_9+7,New,undersampling,0.854058,0.249788,0.693158,0.512195,0.165169,0.061942,0.487805
split_9+7,New,oversampling,0.818525,0.159825,0.670515,0.508711,0.094805,0.116215,0.491289
split_9+7,New,hybrid,0.823430,0.193165,0.646437,0.452962,0.122757,0.077449,0.547038
split_10+6,Old,none,0.720811,0.100620,0.622829,0.480836,0.056189,0.193247,0.519164
split_10+6,Old,undersampling,0.789559,0.096386,0.702761,0.724739,0.051626,0.318549,0.275261
split_10+6,Old,oversampling,0.704872,0.087374,0.521540,0.317073,0.050668,0.142143,0.682927
split_10+6,Old,hybrid,0.746360,0.117593,0.618750,0.449477,0.067646,0.148228,0.550523
split_10+6,New,none,0.823692,0.249267,0.537134,0.296167,0.215190,0.025844,0.703833
split_10+6,New,undersampling,0.843463,0.262921,0.625418,0.407666,0.194030,0.040517,0.592334
split_10+6,New,oversampling,0.835247,0.206961,0.601660,0.383275,0.141753,0.055523,0.616725
split_10+6,New,hybrid,0.849620,0.209664,0.645000,0.445993,0.137045,0.067195,0.554007
split_11+5,Old,none,0.746995,0.116162,0.672524,0.560976,0.064789,0.193747,0.439024
split_11+5,Old,undersampling,0.793708,0.116759,0.726509,0.700348,0.063688,0.246353,0.299652
split_11+5,Old,oversampling,0.712081,0.091471,0.566867,0.386760,0.051869,0.169154,0.613240
split_11+5,Old,hybrid,0.762297,0.114889,0.649196,0.512195,0.064701,0.177157,0.487805
split_11+5,New,none,0.813809,0.255319,0.617187,0.397213,0.188119,0.041017,0.602787
split_11+5,New,undersampling,0.829961,0.280488,0.559602,0.320557,0.249322,0.023093,0.679443
split_11+5,New,oversampling,0.803913,0.165795,0.597008,0.386760,0.105513,0.078449,0.613240
split_11+5,New,hybrid,0.851124,0.184196,0.721909,0.588850,0.109173,0.114965,0.411150
split_12+4,Old,none,0.778955,0.114843,0.668368,0.554007,0.064061,0.193664,0.445993
split_12+4,Old,undersampling,0.795020,0.121977,0.696686,0.606272,0.067810,0.199416,0.393728
split_12+4,Old,oversampling,0.703588,0.096246,0.547094,0.348432,0.055835,0.140975,0.651568
split_12+4,Old,hybrid,0.763091,0.116015,0.634435,0.480836,0.065966,0.162901,0.519164
split_12+4,New,none,0.808689,0.289786,0.640111,0.425087,0.219820,0.036098,0.574913
split_12+4,New,undersampling,0.842201,0.255193,0.653591,0.449477,0.178177,0.049604,0.550523
split_12+4,New,oversampling,0.831495,0.204918,0.503253,0.261324,0.168539,0.030846,0.738676
split_12+4,New,hybrid,0.856527,0.215805,0.676895,0.494774,0.137998,0.073947,0.505226
split_13+3,Old,none,0.816019,0.136458,0.742214,0.689895,0.075717,0.201501,0.310105
split_13+3,Old,undersampling,0.808097,0.122884,0.687062,0.581882,0.068696,0.188745,0.418118
split_13+3,Old,oversampling,0.709069,0.095855,0.633738,0.515679,0.052838,0.221175,0.484321
split_13+3,Old,hybrid,0.769917,0.120378,0.640763,0.487805,0.068661,0.158316,0.512195
split_13+3,New,none,0.837243,0.288786,0.565821,0.327526,0.258242,0.022509,0.672474
split_13+3,New,undersampling,0.857279,0.282158,0.587796,0.355401,0.233945,0.027845,0.644599
split_13+3,New,oversampling,0.855810,0.209040,0.604442,0.386760,0.143226,0.055356,0.613240
split_13+3,New,hybrid,0.862947,0.240385,0.642446,0.435540,0.166003,0.052355,0.564460
split_14+2,Old,none,0.786310,0.109748,0.679645,0.592334,0.060477,0.220175,0.407666
split_14+2,Old,undersampling,0.821262,0.111519,0.746807,0.794425,0.059968,0.297957,0.205575
split_14+2,Old,oversampling,0.697262,0.085724,0.595126,0.452962,0.047342,0.218091,0.547038
split_14+2,Old,hybrid,0.752856,0.127563,0.588299,0.390244,0.076242,0.113130,0.609756
split_14+2,New,none,0.848424,0.232420,0.711108,0.547038,0.147556,0.075615,0.452962
split_14+2,New,undersampling,0.835553,0.256236,0.614741,0.393728,0.189916,0.040183,0.606272
split_14+2,New,oversampling,0.828576,0.212093,0.612285,0.397213,0.144670,0.056190,0.602787
split_14+2,New,hybrid,0.868188,0.249307,0.666680,0.470383,0.169598,0.055106,0.529617
split_15+1,Old,none,0.784723,0.158841,0.652363,0.477352,0.095271,0.108462,0.522648
split_15+1,Old,undersampling,0.807582,0.126549,0.728207,0.675958,0.069809,0.215506,0.324042
split_15+1,Old,oversampling,0.748050,0.095593,0.642012,0.536585,0.052470,0.231847,0.463415
split_15+1,Old,hybrid,0.796570,0.143333,0.630568,0.449477,0.085261,0.115381,0.550523
split_15+1,New,none,0.858255,0.326531,0.549935,0.306620,0.349206,0.013672,0.693380
split_15+1,New,undersampling,0.857498,0.298592,0.599648,0.369338,0.250591,0.026428,0.630662
split_15+1,New,oversampling,0.802160,0.234707,0.562190,0.327526,0.182879,0.035015,0.672474
split_15+1,New,hybrid,0.825602,0.194093,0.611997,0.400697,0.128062,0.065277,0.599303
