new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1595,0.1196,0.1365,0.1595,0.1438
14yr,0.0941,0.1506,0.1826,0.1055,0.1332
13yr,0.0940,0.1035,0.1687,0.0952,0.1153
12yr,0.0893,0.1058,0.1952,0.1296,0.1300
11yr,0.0534,0.0699,0.0894,0.0746,0.0718
10yr,0.1085,0.0751,0.0617,0.0850,0.0826
9yr,0.0326,0.0368,0.1230,0.0702,0.0656
8yr,0.0549,0.0393,0.0545,0.0718,0.0551
7yr,0.0298,0.0619,0.1162,0.0774,0.0714
6yr,0.0258,0.0405,0.0555,0.0672,0.0473
5yr,0.0410,0.0231,0.0784,0.1150,0.0644
4yr,0.0361,0.0496,0.0308,0.0739,0.0476
3yr,0.0225,0.0278,0.0554,0.0524,0.0395
2yr,0.0756,0.0402,0.0562,0.0551,0.0568
1yr,0.0137,0.0264,0.0350,0.0653,0.0351
avg,0.0621,0.0647,0.0959,0.0865,0.0773
