old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.7143,0.7805,0.7909,0.7178,0.7509
2yr,0.1603,0.1498,0.1986,0.2091,0.1794
3yr,0.1463,0.1359,0.1916,0.1568,0.1577
4yr,0.1463,0.1707,0.1812,0.1742,0.1681
5yr,0.1045,0.1533,0.1533,0.1882,0.1498
6yr,0.3868,0.3868,0.1777,0.1638,0.2787
7yr,0.3763,0.3693,0.1394,0.1498,0.2587
8yr,0.3693,0.3693,0.4669,0.4355,0.4103
9yr,0.3589,0.4634,0.4599,0.4146,0.4242
10yr,0.4669,0.4634,0.3833,0.4321,0.4364
11yr,0.4704,0.4704,0.3902,0.4251,0.4390
12yr,0.4774,0.4739,0.4739,0.4739,0.4747
13yr,0.4704,0.4704,0.4983,0.4286,0.4669
14yr,0.4704,0.4704,0.5052,0.4564,0.4756
15yr,0.4704,0.4704,0.4983,0.4495,0.4721
avg,0.3726,0.3865,0.3672,0.3517,0.3695
