old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0480,0.0438,0.0355,0.0312,0.0396
2yr,0.0293,0.0290,0.0292,0.0295,0.0293
3yr,0.0284,0.0277,0.0291,0.0302,0.0288
4yr,0.0293,0.0294,0.0293,0.0298,0.0295
5yr,0.0287,0.0300,0.0304,0.0302,0.0298
6yr,0.0359,0.0354,0.0307,0.0307,0.0332
7yr,0.0358,0.0359,0.0306,0.0312,0.0334
8yr,0.0367,0.0362,0.0399,0.0384,0.0378
9yr,0.0378,0.0409,0.0408,0.0378,0.0393
10yr,0.0416,0.0415,0.0363,0.0408,0.0400
11yr,0.0426,0.0422,0.0369,0.0410,0.0407
12yr,0.0423,0.0421,0.0416,0.0442,0.0425
13yr,0.0426,0.0423,0.0453,0.0415,0.0429
14yr,0.0427,0.0422,0.0449,0.0447,0.0437
15yr,0.0424,0.0421,0.0452,0.0456,0.0438
avg,0.0376,0.0374,0.0364,0.0365,0.0370
