split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_4+12,New,oversampling,0.705007,0.141002,0.597449,0.397213,0.085714,0.101376,0.602787,0.632259,"{""C"": 1.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_4+12,New,hybrid,0.722909,0.127680,0.633706,0.466899,0.073951,0.139892,0.533101,0.639127,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_5+11,Old,none,0.657229,0.055604,0.495967,0.895470,0.028693,0.725302,0.104530,0.571459,"{""C"": 1.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_5+11,Old,undersampling,0.656352,0.057988,0.540844,0.846690,0.030022,0.654523,0.153310,0.571231,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""saga""}"
split_5+11,Old,oversampling,0.644192,0.058632,0.546815,0.846690,0.030367,0.646853,0.153310,0.571972,"{""C"": 1.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_5+11,Old,hybrid,0.650647,0.058279,0.553042,0.811847,0.030224,0.623260,0.188153,0.577249,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""saga""}"
split_5+11,New,none,0.700159,0.144866,0.572720,0.358885,0.090749,0.086036,0.641115,0.635491,"{""C"": 10.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_5+11,New,undersampling,0.700376,0.143934,0.577330,0.365854,0.089590,0.088954,0.634146,0.635574,"{""C"": 10.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_5+11,New,oversampling,0.702659,0.141617,0.579090,0.369338,0.087603,0.092038,0.630662,0.635239,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_5+11,New,hybrid,0.717341,0.148528,0.604258,0.404181,0.090980,0.096624,0.595819,0.641023,"{""C"": 10.0, ""max_iter"": 1000, ""solver"": ""saga""}"
split_6+10,Old,none,0.666461,0.067757,0.609359,0.613240,0.035860,0.394498,0.386760,0.587971,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_6+10,Old,undersampling,0.666513,0.067022,0.606963,0.613240,0.035448,0.399250,0.386760,0.588281,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_6+10,Old,oversampling,0.656605,0.059274,0.558804,0.822300,0.030745,0.620258,0.177700,0.587793,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_6+10,Old,hybrid,0.662457,0.059303,0.555608,0.836237,0.030742,0.630846,0.163763,0.590090,"{""C"": 1.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_6+10,New,none,0.698382,0.141765,0.569465,0.355401,0.088542,0.087536,0.644599,0.634720,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_6+10,New,undersampling,0.697309,0.152824,0.546361,0.320557,0.100327,0.068779,0.679443,0.634860,"{""C"": 0.01, ""max_iter"": 2000, ""solver"": ""saga""}"
split_6+10,New,oversampling,0.696158,0.157221,0.530698,0.299652,0.106568,0.060108,0.700348,0.634040,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""saga""}"
split_6+10,New,hybrid,0.709671,0.155671,0.580228,0.365854,0.098870,0.079783,0.634146,0.638292,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""saga""}"
split_7+9,Old,none,0.669171,0.067752,0.610881,0.623693,0.035821,0.401667,0.376307,0.586427,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_7+9,Old,undersampling,0.669594,0.067905,0.612356,0.630662,0.035884,0.405419,0.369338,0.586659,"{""C"": 1.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_7+9,Old,oversampling,0.661026,0.059126,0.547247,0.860627,0.030615,0.652022,0.139373,0.585503,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_7+9,Old,hybrid,0.665397,0.060202,0.559712,0.850174,0.031206,0.631513,0.149826,0.586561,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_7+9,New,none,0.697441,0.156698,0.549764,0.324042,0.103333,0.067278,0.675958,0.644292,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""saga""}"
split_7+9,New,undersampling,0.699648,0.152381,0.556811,0.334495,0.098664,0.073114,0.665505,0.643688,"{""C"": 0.1, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_7+9,New,oversampling,0.699139,0.153360,0.559603,0.337979,0.099182,0.073447,0.662021,0.642628,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""saga""}"
split_7+9,New,hybrid,0.717368,0.155300,0.603865,0.400697,0.096315,0.089954,0.599303,0.650645,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""saga""}"
split_8+8,Old,none,0.680278,0.069309,0.616975,0.630662,0.036669,0.396415,0.369338,0.590899,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_8+8,Old,undersampling,0.680278,0.068548,0.614499,0.630662,0.036243,0.401251,0.369338,0.591411,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""saga""}"
split_8+8,Old,oversampling,0.677034,0.074164,0.607686,0.533101,0.039854,0.307295,0.466899,0.592574,"{""C"": 10.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_8+8,Old,hybrid,0.672226,0.071904,0.611184,0.564460,0.038398,0.338224,0.435540,0.592399,"{""C"": 0.01, ""max_iter"": 2000, ""solver"": ""saga""}"
split_8+8,New,none,0.693426,0.150880,0.540607,0.313589,0.099338,0.068028,0.686411,0.644446,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_8+8,New,undersampling,0.693525,0.158273,0.536452,0.306620,0.106667,0.061442,0.693380,0.644645,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""saga""}"
split_8+8,New,oversampling,0.694573,0.160494,0.545059,0.317073,0.107438,0.063026,0.682927,0.644275,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_8+8,New,hybrid,0.709591,0.149596,0.593079,0.386760,0.092732,0.090538,0.613240,0.646661,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""saga""}"
split_9+7,Old,none,0.687782,0.071373,0.625067,0.641115,0.037790,0.390579,0.358885,0.592193,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_9+7,Old,undersampling,0.688222,0.076031,0.612450,0.536585,0.040914,0.300959,0.463415,0.592359,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_9+7,Old,oversampling,0.685768,0.075943,0.613335,0.540070,0.040843,0.303460,0.459930,0.592585,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_9+7,Old,hybrid,0.682267,0.071021,0.613754,0.585366,0.037804,0.356482,0.414634,0.592974,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""saga""}"
split_9+7,New,none,0.689279,0.152267,0.538148,0.310105,0.100907,0.066111,0.689895,0.654874,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_9+7,New,undersampling,0.689334,0.150628,0.540559,0.313589,0.099119,0.068195,0.686411,0.654988,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""saga""}"
split_9+7,New,oversampling,0.690480,0.160369,0.534011,0.303136,0.109023,0.059275,0.696864,0.654507,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""saga""}"
split_9+7,New,hybrid,0.703036,0.149856,0.576411,0.362369,0.094460,0.083118,0.637631,0.656595,"{""C"": 0.1, ""max_iter"": 2000, ""solver"": ""saga""}"
split_10+6,Old,none,0.689879,0.077098,0.613400,0.533101,0.041554,0.294206,0.466899,0.594542,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_10+6,Old,undersampling,0.690312,0.076981,0.614274,0.536585,0.041465,0.296790,0.463415,0.594603,"{""C"": 10.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_10+6,Old,oversampling,0.690423,0.068512,0.612307,0.616725,0.036270,0.392080,0.383275,0.595576,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_10+6,Old,hybrid,0.694869,0.076062,0.621543,0.567944,0.040760,0.319800,0.432056,0.596154,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""saga""}"
split_10+6,New,none,0.687497,0.156394,0.527744,0.296167,0.106250,0.059608,0.703833,0.666555,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""saga""}"
split_10+6,New,undersampling,0.691700,0.149406,0.534877,0.306620,0.098765,0.066945,0.693380,0.663729,"{""C"": 10.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_10+6,New,oversampling,0.692469,0.172632,0.521417,0.285714,0.123680,0.048437,0.714286,0.664943,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_10+6,New,hybrid,0.700397,0.153724,0.559678,0.337979,0.099487,0.073197,0.662021,0.665910,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""saga""}"
split_11+5,Old,none,0.690511,0.078777,0.615315,0.529617,0.042553,0.285119,0.470383,0.598189,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_11+5,Old,undersampling,0.691004,0.078230,0.614346,0.529617,0.042234,0.287370,0.470383,0.598364,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_11+5,Old,oversampling,0.690636,0.069555,0.614365,0.609756,0.036881,0.380992,0.390244,0.598432,"{""C"": 1.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_11+5,Old,hybrid,0.696581,0.076602,0.624578,0.574913,0.041035,0.321467,0.425087,0.600162,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_11+5,New,none,0.692308,0.152231,0.532637,0.303136,0.101636,0.064110,0.696864,0.663850,"{""C"": 0.1, ""max_iter"": 500, ""solver"": ""saga""}"
split_11+5,New,undersampling,0.688573,0.151463,0.535259,0.306620,0.100571,0.065611,0.693380,0.666399,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""saga""}"
split_11+5,New,oversampling,0.691593,0.168133,0.532366,0.299652,0.116848,0.054189,0.700348,0.662279,"{""C"": 10.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_11+5,New,hybrid,0.712091,0.153957,0.584692,0.372822,0.097008,0.083035,0.627178,0.669450,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_12+4,Old,none,0.687146,0.078186,0.611966,0.522648,0.042254,0.283451,0.477352,0.602473,"{""C"": 1.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_12+4,Old,undersampling,0.687469,0.077935,0.612680,0.526132,0.042085,0.286536,0.473868,0.602554,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_12+4,Old,oversampling,0.687454,0.077139,0.611246,0.526132,0.041621,0.289871,0.473868,0.602527,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_12+4,Old,hybrid,0.693832,0.081511,0.618735,0.526132,0.044178,0.272363,0.473868,0.604750,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_12+4,New,none,0.711824,0.167993,0.557083,0.331010,0.112559,0.062443,0.668990,0.659135,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_12+4,New,undersampling,0.711786,0.167393,0.559634,0.334495,0.111628,0.063693,0.665505,0.659265,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_12+4,New,oversampling,0.714384,0.179348,0.569473,0.344948,0.121175,0.059858,0.655052,0.656895,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_12+4,New,hybrid,0.726775,0.179186,0.569448,0.344948,0.121027,0.059942,0.655052,0.661439,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""saga""}"
split_13+3,Old,none,0.689010,0.078920,0.615566,0.529617,0.042637,0.284535,0.470383,0.604981,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_13+3,Old,undersampling,0.689140,0.078310,0.614490,0.529617,0.042281,0.287036,0.470383,0.605007,"{""C"": 10.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
