old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0822,0.0731,0.0607,0.0562,0.0680
2yr,0.0566,0.0562,0.0563,0.0569,0.0565
3yr,0.0549,0.0537,0.0562,0.0582,0.0557
4yr,0.0567,0.0568,0.0566,0.0576,0.0569
5yr,0.0556,0.0580,0.0586,0.0583,0.0576
6yr,0.0678,0.0670,0.0593,0.0593,0.0633
7yr,0.0678,0.0679,0.0591,0.0602,0.0637
8yr,0.0693,0.0685,0.0742,0.0719,0.0710
9yr,0.0714,0.0760,0.0759,0.0710,0.0736
10yr,0.0771,0.0770,0.0685,0.0761,0.0747
11yr,0.0788,0.0782,0.0696,0.0766,0.0758
12yr,0.0782,0.0779,0.0771,0.0815,0.0787
13yr,0.0789,0.0783,0.0831,0.0774,0.0794
14yr,0.0791,0.0782,0.0824,0.0826,0.0806
15yr,0.0784,0.0779,0.0830,0.0842,0.0809
avg,0.0702,0.0697,0.0680,0.0685,0.0691
