new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.2514,0.2545,0.2562,0.1053,0.2169
14yr,0.2476,0.1186,0.0949,0.1178,0.1447
13yr,0.1014,0.1201,0.0984,0.1460,0.1165
12yr,0.1021,0.0835,0.1014,0.1399,0.1067
11yr,0.0860,0.0890,0.0920,0.0966,0.0909
10yr,0.0875,0.0688,0.0601,0.0798,0.0741
9yr,0.0673,0.0731,0.0734,0.0900,0.0759
8yr,0.0680,0.0614,0.0630,0.0905,0.0708
7yr,0.0661,0.0682,0.0593,0.0831,0.0692
6yr,0.0596,0.0669,0.0484,0.0732,0.0620
5yr,0.0641,0.0656,0.0542,0.0830,0.0667
4yr,0.0624,0.0637,0.0599,0.0599,0.0615
3yr,0.0721,0.0762,0.0630,0.0692,0.0701
2yr,0.0698,0.0712,0.0512,0.0759,0.0670
1yr,0.1010,0.1034,0.0855,0.1035,0.0983
avg,0.1004,0.0923,0.0841,0.0943,0.0928
