old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.1516,0.0967,0.3495,0.0769,0.1687
2yr,0.2081,0.1556,0.3545,0.2472,0.2413
3yr,0.1095,0.2532,0.2419,0.1322,0.1842
4yr,0.2443,0.2749,0.3149,0.2164,0.2626
5yr,0.2028,0.2768,0.1162,0.2024,0.1996
6yr,0.1817,0.3451,0.1670,0.2353,0.2323
7yr,0.1982,0.1794,0.2956,0.2323,0.2264
8yr,0.1810,0.2728,0.2418,0.1951,0.2227
9yr,0.1310,0.1884,0.4089,0.2323,0.2401
10yr,0.1932,0.3185,0.1421,0.1482,0.2005
11yr,0.1937,0.2464,0.1692,0.1772,0.1966
12yr,0.1937,0.1994,0.1410,0.1629,0.1742
13yr,0.2015,0.1887,0.2212,0.1583,0.1924
14yr,0.2202,0.2980,0.2181,0.1131,0.2123
15yr,0.1085,0.2155,0.2318,0.1154,0.1678
avg,0.1813,0.2340,0.2409,0.1763,0.2081
