new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.0816,0.0883,0.0630,0.0821,0.0787
14yr,0.1145,0.0874,0.0629,0.0971,0.0905
13yr,0.1111,0.1091,0.0763,0.0951,0.0979
12yr,0.1105,0.1000,0.0651,0.0890,0.0911
11yr,0.1634,0.1484,0.0999,0.1361,0.1369
10yr,0.1076,0.1286,0.1148,0.1146,0.1164
9yr,0.2257,0.1893,0.0856,0.1247,0.1563
8yr,0.1477,0.1452,0.1292,0.1355,0.1394
7yr,0.2080,0.1652,0.0948,0.1228,0.1477
6yr,0.2152,0.1940,0.1418,0.1370,0.1720
5yr,0.1881,0.2493,0.1055,0.1092,0.1630
4yr,0.2198,0.1782,0.1685,0.1380,0.1761
3yr,0.2582,0.2339,0.1432,0.1660,0.2004
2yr,0.1476,0.1899,0.1447,0.1696,0.1629
1yr,0.3492,0.2506,0.1829,0.1281,0.2277
avg,0.1765,0.1638,0.1119,0.1230,0.1438
