new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.7056,0.6530,0.5753,0.7077,0.6604
14yr,0.6788,0.7155,0.6471,0.6511,0.6731
13yr,0.6671,0.6891,0.6955,0.6151,0.6667
12yr,0.6496,0.6628,0.6761,0.6789,0.6669
11yr,0.6421,0.6879,0.6145,0.6743,0.6547
10yr,0.6983,0.6547,0.5602,0.6487,0.6405
9yr,0.6199,0.5880,0.6494,0.6235,0.6202
8yr,0.6127,0.5175,0.5653,0.6608,0.5891
7yr,0.5637,0.6932,0.6705,0.6464,0.6435
6yr,0.5371,0.6254,0.6017,0.6450,0.6023
5yr,0.6172,0.5596,0.5970,0.7219,0.6239
4yr,0.6401,0.6536,0.5033,0.6769,0.6185
3yr,0.5658,0.5878,0.6044,0.6424,0.6001
2yr,0.7111,0.6147,0.6123,0.6667,0.6512
1yr,0.5499,0.5996,0.5622,0.6120,0.5809
avg,0.6306,0.6335,0.6090,0.6581,0.6328
