old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.6363,0.6236,0.5650,0.5505,0.5938
2yr,0.6817,0.5998,0.5572,0.5836,0.6056
3yr,0.5818,0.6418,0.6086,0.6531,0.6213
4yr,0.6747,0.6947,0.6003,0.6664,0.6590
5yr,0.7131,0.7155,0.6563,0.6458,0.6827
6yr,0.6824,0.6913,0.6728,0.6463,0.6732
7yr,0.8013,0.7171,0.7057,0.6868,0.7277
8yr,0.7066,0.7609,0.6617,0.7121,0.7103
9yr,0.7671,0.7889,0.6962,0.7118,0.7410
10yr,0.7208,0.7896,0.7049,0.7464,0.7404
11yr,0.7470,0.7937,0.7121,0.7623,0.7538
12yr,0.7790,0.7950,0.7036,0.7631,0.7602
13yr,0.8160,0.8081,0.7091,0.7699,0.7758
14yr,0.7863,0.8213,0.6973,0.7529,0.7644
15yr,0.7847,0.8076,0.7480,0.7966,0.7842
avg,0.7253,0.7366,0.6666,0.6965,0.7062
