metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.6965,0.7253,0.6666,0.7366
AUC,New,0.8323,0.8250,0.8010,0.8302
AUC,Retrain,0.7890,0.7865,0.7401,0.7673
F1,Old,0.0923,0.1046,0.0769,0.0986
F1,New,0.1932,0.2338,0.1686,0.2270
F1,Retrain,0.1481,0.1884,0.0944,0.1210
G_Mean,Old,0.5619,0.6118,0.5601,0.6422
G_Mean,New,0.6581,0.6306,0.6090,0.6335
G_Mean,Retrain,0.5735,0.6476,0.6702,0.6636
Recall,Old,0.3956,0.4699,0.4281,0.5638
Recall,New,0.4764,0.4307,0.4177,0.4351
Recall,Retrain,0.3589,0.4564,0.6202,0.5331
Precision,Old,0.0528,0.0592,0.0427,0.0544
Precision,New,0.1230,0.1765,0.1119,0.1638
Precision,Retrain,0.0933,0.1187,0.0511,0.0683
