new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.8013,0.8184,0.7321,0.8032,0.7887
14yr,0.8068,0.8181,0.7538,0.8066,0.7963
13yr,0.8124,0.8270,0.7833,0.8030,0.8064
12yr,0.8275,0.8119,0.7744,0.8087,0.8056
11yr,0.8144,0.8148,0.7898,0.8254,0.8111
10yr,0.8343,0.8179,0.8078,0.8157,0.8189
9yr,0.8210,0.8105,0.7784,0.8392,0.8123
8yr,0.8304,0.8139,0.8191,0.8452,0.8272
7yr,0.8363,0.8541,0.8185,0.8234,0.8331
6yr,0.8237,0.8435,0.8352,0.8496,0.8380
5yr,0.8138,0.8300,0.8039,0.8511,0.8247
4yr,0.8087,0.8422,0.8315,0.8565,0.8347
3yr,0.8372,0.8573,0.8558,0.8629,0.8533
2yr,0.8484,0.8356,0.8286,0.8682,0.8452
1yr,0.8583,0.8575,0.8022,0.8256,0.8359
avg,0.8250,0.8302,0.8010,0.8323,0.8221
