old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.6132,0.6969,0.6620,0.8293,0.7003
2yr,0.8467,0.7387,0.5575,0.5226,0.6664
3yr,0.8188,0.7456,0.7387,0.6202,0.7308
4yr,0.8746,0.7631,0.7247,0.7631,0.7814
5yr,0.6864,0.6237,0.6585,0.6969,0.6664
6yr,0.7770,0.7387,0.7317,0.6063,0.7134
7yr,0.8084,0.7909,0.6829,0.7073,0.7474
8yr,0.8258,0.7073,0.6899,0.5749,0.6995
9yr,0.7422,0.7213,0.5052,0.5087,0.6193
10yr,0.6585,0.6098,0.5714,0.5749,0.6037
11yr,0.6063,0.6202,0.7178,0.5331,0.6193
12yr,0.6098,0.5889,0.6132,0.5645,0.5941
13yr,0.5958,0.5958,0.5157,0.5819,0.5723
14yr,0.5470,0.5784,0.4669,0.5575,0.5375
15yr,0.5749,0.5470,0.5017,0.5366,0.5401
avg,0.7057,0.6711,0.6225,0.6118,0.6528
