old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.5157,0.5889,0.6411,0.5923,0.5845
2+14,0.5679,0.5854,0.5331,0.5784,0.5662
3+13,0.5470,0.5436,0.5226,0.5226,0.5340
4+12,0.5261,0.4460,0.5714,0.4564,0.5000
5+11,0.5192,0.5017,0.5401,0.5679,0.5322
6+10,0.5192,0.5157,0.4669,0.3798,0.4704
7+9,0.4808,0.4321,0.4948,0.4843,0.4730
8+8,0.4530,0.4286,0.4286,0.4146,0.4312
9+7,0.4042,0.4321,0.4739,0.4808,0.4477
10+6,0.5017,0.5052,0.4669,0.4355,0.4774
11+5,0.4843,0.4599,0.4146,0.4042,0.4408
12+4,0.5401,0.4425,0.4843,0.3937,0.4652
13+3,0.4913,0.4251,0.5122,0.4181,0.4617
14+2,0.4425,0.5052,0.4425,0.4425,0.4582
15+1,0.3659,0.4390,0.4460,0.4460,0.4242
avg,0.4906,0.4834,0.4959,0.4678,0.4844
