old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5108,0.4604,0.5116,0.3861,0.4672
2yr,0.3734,0.4607,0.5671,0.5894,0.4976
3yr,0.4017,0.4628,0.4675,0.5419,0.4685
4yr,0.3420,0.4617,0.4820,0.4563,0.4355
5yr,0.5170,0.5571,0.5294,0.5053,0.5272
6yr,0.4468,0.4821,0.4825,0.5621,0.4934
7yr,0.4221,0.4396,0.5196,0.5055,0.4717
8yr,0.4057,0.5144,0.5228,0.5953,0.5096
9yr,0.4909,0.5070,0.6295,0.6377,0.5663
10yr,0.5605,0.5977,0.6118,0.6154,0.5964
11yr,0.5988,0.5950,0.5105,0.6454,0.5874
12yr,0.6028,0.6182,0.5883,0.6271,0.6091
13yr,0.6125,0.6133,0.6464,0.6178,0.6225
14yr,0.6468,0.6262,0.6775,0.6391,0.6474
15yr,0.6316,0.6488,0.6650,0.6492,0.6486
avg,0.5042,0.5363,0.5608,0.5716,0.5432
