new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.0659,0.0469,0.0907,0.1037,0.0768
14yr,0.0482,0.0542,0.0883,0.0739,0.0662
13yr,0.0533,0.0639,0.0874,0.0670,0.0679
12yr,0.0433,0.0660,0.1128,0.0798,0.0755
11yr,0.0494,0.0519,0.0595,0.0641,0.0562
10yr,0.0643,0.0436,0.0866,0.0777,0.0680
9yr,0.0455,0.0424,0.0535,0.0749,0.0541
8yr,0.0444,0.0582,0.0818,0.0671,0.0629
7yr,0.0503,0.0393,0.0431,0.0689,0.0504
6yr,0.0424,0.0383,0.0401,0.0504,0.0428
5yr,0.0830,0.0527,0.0625,0.0759,0.0685
4yr,0.0510,0.0386,0.0471,0.0733,0.0525
3yr,0.0549,0.0282,0.0841,0.0619,0.0573
2yr,0.0382,0.0218,0.0342,0.0556,0.0374
1yr,0.0368,0.0254,0.0071,0.0466,0.0290
avg,0.0514,0.0448,0.0653,0.0694,0.0577
