old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5676,0.5137,0.5818,0.5812,0.5611
2yr,0.5996,0.6013,0.6217,0.6601,0.6207
3yr,0.6229,0.6347,0.6005,0.6544,0.6281
4yr,0.6496,0.6393,0.6568,0.6570,0.6507
5yr,0.6779,0.6847,0.6508,0.6705,0.6710
6yr,0.6950,0.6485,0.6687,0.6706,0.6707
7yr,0.7126,0.6810,0.6815,0.6744,0.6874
8yr,0.6948,0.7192,0.6846,0.7375,0.7090
9yr,0.7340,0.7076,0.7305,0.7522,0.7311
10yr,0.7661,0.7779,0.7469,0.7767,0.7669
11yr,0.7827,0.7876,0.7549,0.7888,0.7785
12yr,0.7941,0.8014,0.7661,0.7857,0.7868
13yr,0.8019,0.7910,0.7734,0.7997,0.7915
14yr,0.8324,0.8345,0.7859,0.8127,0.8164
15yr,0.8241,0.8414,0.8018,0.8225,0.8225
avg,0.7170,0.7109,0.7004,0.7229,0.7128
