new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.4983,0.4355,0.4808,0.5749,0.4974
14yr,0.4808,0.4878,0.4495,0.4808,0.4747
13yr,0.5052,0.5226,0.4808,0.4948,0.5009
12yr,0.4878,0.5366,0.5679,0.5610,0.5383
11yr,0.5366,0.5436,0.4460,0.5436,0.5174
10yr,0.5470,0.5017,0.5087,0.5610,0.5296
9yr,0.5087,0.4948,0.4390,0.5575,0.5000
8yr,0.5122,0.5470,0.5122,0.5296,0.5253
7yr,0.5226,0.4704,0.3763,0.5401,0.4774
6yr,0.4878,0.4739,0.3449,0.4495,0.4390
5yr,0.6307,0.5401,0.4321,0.5610,0.5409
4yr,0.4948,0.4599,0.3972,0.5192,0.4678
3yr,0.5052,0.4216,0.5226,0.5087,0.4895
2yr,0.3972,0.3415,0.3031,0.4321,0.3685
1yr,0.3937,0.3136,0.1185,0.3589,0.2962
avg,0.5006,0.4727,0.4253,0.5115,0.4775
