new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.8548,0.8602,0.8253,0.8504,0.8477
14yr,0.8594,0.8618,0.8213,0.8562,0.8497
13yr,0.8589,0.8702,0.8289,0.8504,0.8521
12yr,0.8766,0.8722,0.8382,0.8604,0.8618
11yr,0.8895,0.8923,0.8342,0.8637,0.8699
10yr,0.8819,0.8881,0.8473,0.8649,0.8706
9yr,0.8825,0.8849,0.8410,0.8670,0.8688
8yr,0.8867,0.8741,0.8442,0.8615,0.8667
7yr,0.8767,0.8863,0.8443,0.8708,0.8695
6yr,0.8825,0.8814,0.8480,0.8570,0.8673
5yr,0.8815,0.8880,0.8416,0.8637,0.8687
4yr,0.8782,0.8815,0.8426,0.8600,0.8655
3yr,0.8772,0.8736,0.8575,0.8630,0.8678
2yr,0.8615,0.8708,0.8249,0.8480,0.8513
1yr,0.8418,0.8551,0.8022,0.8197,0.8297
avg,0.8726,0.8760,0.8361,0.8571,0.8605
