method,hybrid,none,oversampling,undersampling
Old,0.7229,0.7170,0.7004,0.7109
New,0.8571,0.8726,0.8361,0.8760
Retrain,0.8491,0.8535,0.8112,0.8564
Finetune,0.8481,0.8560,0.8227,0.8484
