,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
DES_baseline,0.5386476280387066,0.0,0.0,0.0,0.0,0.0,1.0
DES_time_weighted,0.5279502006136417,0.0,,0.0,0.0,,
DES_minority_weighted,0.5282098182676422,0.0,,0.0,0.0,,
DES_combined,0.5282098182676422,0.0,,0.0,0.0,,
