,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
DCS_OLA,0.6814503646745655,0.21991566655854686,0.5313927111272709,0.31890874882408277,0.16782178217821783,0.11454855195911413,0.6810912511759172
DCS_LCA,0.6778210875010617,0.17307692307692307,0.39080911692420406,0.16086547507055504,0.18729463307776562,0.050562180579216354,0.839134524929445
DCS_OLA_TW,0.677384984478694,0.20864,0.520000150399035,0.3066792097836312,0.15809893307468478,0.11829642248722316,0.6933207902163687
DCS_LCA_TW,0.6762210387816296,0.17277250113071008,0.40983250035933355,0.17968015051740358,0.16637630662020905,0.0652129471890971,0.8203198494825964
