test_feature_year,test_event_year,validation_feature_year,validation_event_year,method,n_validation,n_validation_positive,n_test,n_test_positive,prevalence,f1_threshold_from_validation,fpr5_threshold_from_validation,validation_AUC,validation_PR_AUC,validation_F1,validation_G_Mean,validation_Recall,validation_Precision,validation_Balanced_Accuracy,validation_Cohen_Kappa,validation_Type1_Error,validation_Type2_Error,validation_Recall_at_5pctFPR,validation_Precision_at_5pctFPR,validation_Realized_FPR_at_5pctFPR,validation_Alerts_at_5pctFPR,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,Alerts_at_5pctFPR,seed,protocol_version,imbalance_method
2009,2010,2008,2009,Recent3y,3857,58,3743,23,0.00614480363345,0.31,0.0741831958294,0.815709215674,0.124845989958,0.212121212121,0.487408509211,0.241379310345,0.189189189189,0.612792840221,0.198609501738,0.0157936299026,0.758620689655,0.344827586207,0.1,0.0473808897078,200,0.804581580178,0.0780493606336,0.0714285714286,0.293652658864,0.0869565217391,0.0606060606061,0.539311594203,0.0646547167091,0.00833333333333,0.913043478261,0.130434782609,0.0337078651685,0.0231182795699,89,42,study3b_overlap_event_target_v1_financial18_exploratory,scale_pos_weight
2009,2010,2008,2009,B_data_equal,3857,58,3743,23,0.00614480363345,0.08,0.0803731232882,0.817792340997,0.0793604716051,0.171003717472,0.613944366489,0.396551724138,0.109004739336,0.673532508555,0.150974723041,0.0494867070282,0.603448275862,0.396551724138,0.109004739336,0.0494867070282,211,0.789855072464,0.0514383290794,0.0661157024793,0.411726203408,0.173913043478,0.0408163265306,0.574322113137,0.0567267699238,0.0252688172043,0.826086956522,0.173913043478,0.0408163265306,0.0252688172043,98,42,study3b_overlap_event_target_v1_financial18_exploratory,scale_pos_weight
2009,2010,2008,2009,B_model_FIFO3_equal,3857,58,3743,23,0.00614480363345,0.25,0.072083003819,0.840275571611,0.101846852914,0.215384615385,0.487538849769,0.241379310345,0.194444444444,0.613056067386,0.202093871309,0.0152671755725,0.758620689655,0.396551724138,0.108490566038,0.0497499341932,212,0.845523609163,0.0435761171085,0.0740740740741,0.293732250317,0.0869565217391,0.0645161290323,0.539580411407,0.0674951169929,0.00779569892473,0.913043478261,0.260869565217,0.0560747663551,0.0271505376344,107,42,study3b_overlap_event_target_v1_financial18_exploratory,scale_pos_weight
2010,2011,2009,2010,Recent3y,3743,23,3625,35,0.00965517241379,0.58,0.030210737139,0.777232351566,0.0916336018555,0.235294117647,0.416636277527,0.173913043478,0.363636363636,0.586015661524,0.232241471804,0.00188172043011,0.826086956522,0.347826086957,0.0575539568345,0.0352150537634,139,0.799777158774,0.0736127574538,0.102564102564,0.238979126038,0.0571428571429,0.5,0.528292877039,0.100783160282,0.000557103064067,0.942857142857,0.171428571429,0.0540540540541,0.0292479108635,111,42,study3b_overlap_event_target_v1_financial18_exploratory,scale_pos_weight
2010,2011,2009,2010,B_data_equal,3743,23,3625,35,0.00965517241379,0.38,0.0179047379643,0.78567087424,0.112848297636,0.228571428571,0.416580168675,0.173913043478,0.333333333333,0.585881252922,0.225307198761,0.00215053763441,0.826086956522,0.347826086957,0.0434782608696,0.047311827957,184,0.840079586152,0.110475554049,0.102564102564,0.238979126038,0.0571428571429,0.5,0.528292877039,0.100783160282,0.000557103064067,0.942857142857,0.171428571429,0.0451127819549,0.0353760445682,133,42,study3b_overlap_event_target_v1_financial18_exploratory,scale_pos_weight
2010,2011,2009,2010,B_model_FIFO3_equal,3743,23,3625,35,0.00965517241379,0.16,0.0480858646333,0.854453015428,0.0627532157537,0.164383561644,0.507724345704,0.260869565217,0.12,0.624520804114,0.15729001731,0.0118279569892,0.739130434783,0.347826086957,0.0522875816993,0.0389784946237,153,0.816482292081,0.0626640075917,0.119402985075,0.336740774756,0.114285714286,0.125,0.553243135694,0.111205768072,0.00779944289694,0.885714285714,0.2,0.0752688172043,0.0239554317549,93,42,study3b_overlap_event_target_v1_financial18_exploratory,scale_pos_weight
2011,2012,2010,2011,Recent3y,3625,35,3513,25,0.00711642470823,0.61,0.0063135093078,0.728085953044,0.0623288226315,0.146341463415,0.292647669011,0.0857142857143,0.5,0.542439315559,0.143922269829,0.0008356545961,0.914285714286,0.2,0.0397727272727,0.0470752089136,176,0.8775,0.105161429433,0.0666666666667,0.199885288204,0.04,0.2,0.519426605505,0.0644474034621,0.00114678899083,0.96,0.52,0.0659898477157,0.052752293578,197,42,study3b_overlap_event_target_v1_financial18_exploratory,scale_pos_weight
2011,2012,2010,2011,B_data_equal,3625,35,3513,25,0.00711642470823,0.12,0.00699154147878,0.812916832471,0.101143781386,0.135593220339,0.337118710649,0.114285714286,0.166666666667,0.554357341823,0.128749499281,0.00557103064067,0.885714285714,0.257142857143,0.0514285714286,0.0462395543175,175,0.878864678899,0.0965887073781,0.078431372549,0.281867950084,0.08,0.0769230769231,0.536559633028,0.0716956309069,0.00688073394495,0.92,0.56,0.0732984293194,0.050745412844,191,42,study3b_overlap_event_target_v1_financial18_exploratory,scale_pos_weight
2011,2012,2010,2011,B_model_FIFO3_equal,3625,35,3513,25,0.00711642470823,0.22,0.0279543250799,0.829677676084,0.0845735371793,0.150943396226,0.337401884752,0.114285714286,0.222222222222,0.555192996419,0.145338328138,0.00389972144847,0.885714285714,0.228571428571,0.0666666666667,0.0311977715877,120,0.865194954128,0.0996786694381,0.122448979592,0.345365781362,0.12,0.125,0.556989678899,0.116288457151,0.00602064220183,0.88,0.44,0.0780141843972,0.0372706422018,141,42,study3b_overlap_event_target_v1_financial18_exploratory,scale_pos_weight
2012,2013,2011,2012,Recent3y,3513,25,3485,26,0.00746054519369,0.26,0.00751075893641,0.924713302752,0.177204639415,0.277777777778,0.446828785222,0.2,0.454545454545,0.599139908257,0.274623167458,0.00172018348624,0.8,0.48,0.0827586206897,0.038130733945,145,0.864278248493,0.169170741645,0.186046511628,0.391494510886,0.153846153846,0.235294117647,0.575043921098,0.181216478375,0.00375831165077,0.846153846154,0.384615384615,0.0571428571429,0.0477016478751,175,42,study3b_overlap_event_target_v1_financial18_exploratory,scale_pos_weight
