test_feature_year,route,pool_action,model_id,train_start,train_end,train_years,n_train,n_positive_before,n_negative_before,n_positive_after,n_negative_after,imbalance_method,sampler,scale_pos_weight,seed,resolved_model_params,protocol_version
2009,B_model,added,seed42_M2005,2003,2005,"2003,2004,2005",12970,115,12855,115,12855,scale_pos_weight,None,111.782608696,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""scale_pos_weight"": 111.78260869565217, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2009,B_model,added,seed42_M2006,2004,2006,"2004,2005,2006",12681,137,12544,137,12544,scale_pos_weight,None,91.5620437956,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""scale_pos_weight"": 91.56204379562044, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2009,B_model,added,seed42_M2007,2005,2007,"2005,2006,2007",12342,150,12192,150,12192,scale_pos_weight,None,81.28,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""scale_pos_weight"": 81.28, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2009,B_data_old,,seed42_Bdata_old_2009,2005,2006,"2005,2006",8333,91,8242,91,8242,scale_pos_weight,None,90.5714285714,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""scale_pos_weight"": 90.57142857142857, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2009,B_data_new,,seed42_Bdata_new_2009,2007,2007,2007,4009,59,3950,59,3950,scale_pos_weight,None,66.9491525424,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""scale_pos_weight"": 66.94915254237289, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2010,B_model,retained,seed42_M2006,2004,2006,"2004,2005,2006",12681,137,12544,137,12544,scale_pos_weight,None,91.5620437956,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""scale_pos_weight"": 91.56204379562044, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2010,B_model,retained,seed42_M2007,2005,2007,"2005,2006,2007",12342,150,12192,150,12192,scale_pos_weight,None,81.28,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""scale_pos_weight"": 81.28, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2010,B_model,added,seed42_M2008,2006,2008,"2006,2007,2008",11994,168,11826,168,11826,scale_pos_weight,None,70.3928571429,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""scale_pos_weight"": 70.39285714285714, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2010,B_data_old,,seed42_Bdata_old_2010,2006,2007,"2006,2007",8137,110,8027,110,8027,scale_pos_weight,None,72.9727272727,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""scale_pos_weight"": 72.97272727272727, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
2010,B_data_new,,seed42_Bdata_new_2010,2008,2008,2008,3857,58,3799,58,3799,scale_pos_weight,None,65.5,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""scale_pos_weight"": 65.5, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_financial18_exploratory
