method,AUC_mean,AUC_std,AUC_count,PR_AUC_mean,PR_AUC_std,PR_AUC_count,F1_mean,F1_std,F1_count,G_Mean_mean,G_Mean_std,G_Mean_count,Recall_mean,Recall_std,Recall_count,Precision_mean,Precision_std,Precision_count,Balanced_Accuracy_mean,Balanced_Accuracy_std,Balanced_Accuracy_count,Type1_Error_mean,Type1_Error_std,Type1_Error_count,Type2_Error_mean,Type2_Error_std,Type2_Error_count,Recall_at_5pctFPR_mean,Recall_at_5pctFPR_std,Recall_at_5pctFPR_count,Precision_at_5pctFPR_mean,Precision_at_5pctFPR_std,Precision_at_5pctFPR_count,Realized_FPR_at_5pctFPR_mean,Realized_FPR_at_5pctFPR_std,Realized_FPR_at_5pctFPR_count
B_data_equal,0.828786735223,,1,0.0758170017499,,1,0.0990099009901,,1,0.292845970103,,1,0.0862068965517,,1,0.116279069767,,1,0.540504269069,,1,0.00519835841313,,1,0.913793103448,,1,0.189655172414,,1,0.0709677419355,,1,0.0196990424077,,1
B_model_FIFO3_equal,0.829864616255,,1,0.0874159485032,,1,0.118644067797,,1,0.346142476297,,1,0.120689655172,,1,0.116666666667,,1,0.556719656588,,1,0.00725034199726,,1,0.879310344828,,1,0.172413793103,,1,0.0448430493274,,1,0.0291381668947,,1
Recent3y,0.821871314685,,1,0.054530835945,,1,0.0941176470588,,1,0.262199400979,,1,0.0689655172414,,1,0.148148148148,,1,0.532909571206,,1,0.003146374829,,1,0.931034482759,,1,0.206896551724,,1,0.0628272251309,,1,0.024487004104,,1
