ratio_new,method,AUC,F1
new_20,retrain,0.8108790974171874,0.13624186758515117
new_20,ensemble_new_3,0.8693349290427341,0.2393574297188755
new_20,DES_baseline,0.8501280295361162,0.21382751247327156
new_20,DES_combined,0.8593232081311464,0.21617752326413744
new_50,retrain,0.8181117858341092,0.15241470979175897
new_50,ensemble_new_3,0.8693349290427341,0.2393574297188755
new_50,DES_baseline,0.8386572221584779,0.22351959966638865
new_50,DES_combined,0.8511885759600764,0.22350993377483444
new_80,retrain,0.8285319231445158,0.17658930373360243
new_80,ensemble_new_3,0.8693349290427341,0.2393574297188755
new_80,DES_baseline,0.8466227943408475,0.2551867219917012
new_80,DES_combined,0.8507304872965362,0.24385447394296952
