dataset,ensemble,type,subset,subset_indices,F1
O4 + N12,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.1144
O4 + N12,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.1842
O4 + N12,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.2014
O4 + N12,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.1708
O4 + N12,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.0967
O4 + N12,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.1006
O4 + N12,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.1144
O4 + N12,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.1679
O4 + N12,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.1946
O4 + N12,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.1578
O4 + N12,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.1660
O4 + N12,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.1866
O4 + N12,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.1455
O4 + N12,3models,k_subsets_mean,,,0.1417
O4 + N12,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.0918
O4 + N12,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.0825
O4 + N12,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.0920
O4 + N12,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.1406
O4 + N12,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.1656
O4 + N12,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.1415
O4 + N12,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.1429
O4 + N12,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.1623
O4 + N12,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.1363
O4 + N12,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.1810
O4 + N12,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.1339
O4 + N12,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.1519
O4 + N12,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.1292
O4 + N12,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.1838
O4 + N12,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.1784
O4 + N12,4models,k_subsets_mean,,,0.1409
O4 + N12,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.1221
O4 + N12,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.1383
O4 + N12,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.1163
O4 + N12,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.1580
O4 + N12,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.1792
O4 + N12,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.1642
O4 + N12,5models,k_subsets_mean,,,0.1464
O4 + N12,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.1397
O4 + N12,6models,k_subsets_mean,,,0.1397
O4 + N12,New,under,,,0.2240
O4 + N12,New,over,,,0.1518
O4 + N12,New,hybrid,,,0.1963
O4 + N12,Old,under,,,0.0520
O4 + N12,Old,over,,,0.0598
O4 + N12,Old,hybrid,,,0.0640
O4 + N12,OldNew,under,,,0.1629
O4 + N12,OldNew,over,,,0.1082
O4 + N12,OldNew,hybrid,,,0.1448
O6 + N10,2models,k_subset,Old_under+New_under,"0,3",0.1827
O6 + N10,2models,k_subset,Old_under+New_over,"0,4",0.1501
O6 + N10,2models,k_subset,Old_under+New_hybrid,"0,5",0.1722
O6 + N10,2models,k_subset,Old_over+New_under,"1,3",0.1757
O6 + N10,2models,k_subset,Old_over+New_over,"1,4",0.1337
O6 + N10,2models,k_subset,Old_over+New_hybrid,"1,5",0.1546
O6 + N10,2models,k_subset,Old_hybrid+New_under,"2,3",0.1630
O6 + N10,2models,k_subset,Old_hybrid+New_over,"2,4",0.1299
O6 + N10,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.1573
O6 + N10,2models,k_subsets_mean,,,0.1577
O6 + N10,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.1280
O6 + N10,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.1121
O6 + N10,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.1160
O6 + N10,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.1350
O6 + N10,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.1160
O6 + N10,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.1145
O6 + N10,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.1848
O6 + N10,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.2163
O6 + N10,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.1939
O6 + N10,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.1197
O6 + N10,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.1030
O6 + N10,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.1154
O6 + N10,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.1888
O6 + N10,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.1941
O6 + N10,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.1683
O6 + N10,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.1937
O6 + N10,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.1954
O6 + N10,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.1575
O6 + N10,3models,k_subsets_mean,,,0.1529
O6 + N10,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.1081
O6 + N10,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.0940
O6 + N10,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.1001
O6 + N10,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.1599
O6 + N10,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.1615
O6 + N10,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.1512
O6 + N10,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.1601
O6 + N10,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.1775
O6 + N10,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.1460
O6 + N10,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.2217
O6 + N10,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.1458
O6 + N10,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.1593
O6 + N10,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.1428
O6 + N10,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.2032
O6 + N10,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.2066
O6 + N10,4models,k_subsets_mean,,,0.1559
O6 + N10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.1389
O6 + N10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.1364
O6 + N10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.1291
O6 + N10,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.1869
O6 + N10,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.1908
O6 + N10,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.1739
O6 + N10,5models,k_subsets_mean,,,0.1593
O6 + N10,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.1596
O6 + N10,6models,k_subsets_mean,,,0.1596
O6 + N10,New,under,,,0.2166
O6 + N10,New,over,,,0.1553
O6 + N10,New,hybrid,,,0.2298
O6 + N10,Old,under,,,0.0802
O6 + N10,Old,over,,,0.0769
O6 + N10,Old,hybrid,,,0.0761
O6 + N10,OldNew,under,,,0.1827
O6 + N10,OldNew,over,,,0.1337
O6 + N10,OldNew,hybrid,,,0.1573
O8 + N8,2models,k_subset,Old_under+New_under,"0,3",0.2214
O8 + N8,2models,k_subset,Old_under+New_over,"0,4",0.1764
O8 + N8,2models,k_subset,Old_under+New_hybrid,"0,5",0.1997
O8 + N8,2models,k_subset,Old_over+New_under,"1,3",0.2131
O8 + N8,2models,k_subset,Old_over+New_over,"1,4",0.1458
O8 + N8,2models,k_subset,Old_over+New_hybrid,"1,5",0.1698
O8 + N8,2models,k_subset,Old_hybrid+New_under,"2,3",0.1971
O8 + N8,2models,k_subset,Old_hybrid+New_over,"2,4",0.1505
O8 + N8,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.1721
O8 + N8,2models,k_subsets_mean,,,0.1829
O8 + N8,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.1682
O8 + N8,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.1266
O8 + N8,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.1534
O8 + N8,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.1610
O8 + N8,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.1384
O8 + N8,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.1644
O8 + N8,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.2206
O8 + N8,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.2779
O8 + N8,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.2189
