dataset,Dynamic_KNORA_E_under,Dynamic_KNORA_E_over,Dynamic_KNORA_E_hybrid,Dynamic_KNORA_E_all6,Dynamic_KNORA_U_under,Dynamic_KNORA_U_over,Dynamic_KNORA_U_hybrid,Dynamic_KNORA_U_all6,Dynamic_DES_KNN_under,Dynamic_DES_KNN_over,Dynamic_DES_KNN_hybrid,Dynamic_DES_KNN_all6
O2 + N14,0.7611,0.6976,0.7279,0.7457,0.8018,0.7316,0.7601,0.7839,0.7940,0.7320,0.7549,0.7812
O4 + N12,0.7721,0.7352,0.7801,0.7712,0.8001,0.7409,0.7948,0.8048,0.7969,0.7432,0.7946,0.8049
O6 + N10,0.7850,0.7507,0.7967,0.8056,0.8006,0.7563,0.7988,0.8117,0.7982,0.7578,0.7979,0.8131
O8 + N8,0.8267,0.7778,0.8050,0.8278,0.8253,0.7708,0.8034,0.8225,0.8291,0.7745,0.8057,0.8274
O10 + N6,0.8112,0.7992,0.8232,0.8218,0.8223,0.7908,0.8182,0.8342,0.8229,0.7933,0.8205,0.8363
O12 + N4,0.8134,0.8023,0.8331,0.8358,0.8319,0.7928,0.8331,0.8437,0.8327,0.7957,0.8343,0.8467
O14 + N2,0.7907,0.8047,0.8352,0.8227,0.8493,0.7968,0.8364,0.8517,0.8479,0.7985,0.8362,0.8531
avg,0.7943,0.7668,0.8002,0.8044,0.8187,0.7686,0.8064,0.8218,0.8174,0.7707,0.8063,0.8233
