dataset,ensemble,type,subset,subset_indices,AUC
O1 + N7,Dynamic_KNORA_E,under,,,0.6082
O1 + N7,Dynamic_KNORA_E,over,,,0.6319
O1 + N7,Dynamic_KNORA_E,hybrid,,,0.6403
O1 + N7,Dynamic_KNORA_E,all6,,,0.6321
O1 + N7,Dynamic_KNORA_U,under,,,0.6115
O1 + N7,Dynamic_KNORA_U,over,,,0.6328
O1 + N7,Dynamic_KNORA_U,hybrid,,,0.6395
O1 + N7,Dynamic_KNORA_U,all6,,,0.6395
O1 + N7,Dynamic_DES_KNN,under,,,0.6001
O1 + N7,Dynamic_DES_KNN,over,,,0.6329
O1 + N7,Dynamic_DES_KNN,hybrid,,,0.6403
O1 + N7,Dynamic_DES_KNN,all6,,,0.6361
O2 + N6,Dynamic_KNORA_E,under,,,0.6096
O2 + N6,Dynamic_KNORA_E,over,,,0.6355
O2 + N6,Dynamic_KNORA_E,hybrid,,,0.6413
O2 + N6,Dynamic_KNORA_E,all6,,,0.6293
O2 + N6,Dynamic_KNORA_U,under,,,0.6116
O2 + N6,Dynamic_KNORA_U,over,,,0.6381
O2 + N6,Dynamic_KNORA_U,hybrid,,,0.6453
O2 + N6,Dynamic_KNORA_U,all6,,,0.6455
O2 + N6,Dynamic_DES_KNN,under,,,0.6061
O2 + N6,Dynamic_DES_KNN,over,,,0.6378
O2 + N6,Dynamic_DES_KNN,hybrid,,,0.6444
O2 + N6,Dynamic_DES_KNN,all6,,,0.6422
O3 + N5,Dynamic_KNORA_E,under,,,0.6220
O3 + N5,Dynamic_KNORA_E,over,,,0.6390
O3 + N5,Dynamic_KNORA_E,hybrid,,,0.6477
O3 + N5,Dynamic_KNORA_E,all6,,,0.6307
O3 + N5,Dynamic_KNORA_U,under,,,0.6217
O3 + N5,Dynamic_KNORA_U,over,,,0.6395
O3 + N5,Dynamic_KNORA_U,hybrid,,,0.6493
O3 + N5,Dynamic_KNORA_U,all6,,,0.6477
O3 + N5,Dynamic_DES_KNN,under,,,0.6210
O3 + N5,Dynamic_DES_KNN,over,,,0.6397
O3 + N5,Dynamic_DES_KNN,hybrid,,,0.6489
O3 + N5,Dynamic_DES_KNN,all6,,,0.6439
O4 + N4,Dynamic_KNORA_E,under,,,0.6293
O4 + N4,Dynamic_KNORA_E,over,,,0.6424
O4 + N4,Dynamic_KNORA_E,hybrid,,,0.6501
O4 + N4,Dynamic_KNORA_E,all6,,,0.6348
O4 + N4,Dynamic_KNORA_U,under,,,0.6275
