dataset,Dynamic_KNORA_E_under,Dynamic_KNORA_E_over,Dynamic_KNORA_E_hybrid,Dynamic_KNORA_E_all6,Dynamic_KNORA_U_under,Dynamic_KNORA_U_over,Dynamic_KNORA_U_hybrid,Dynamic_KNORA_U_all6,Dynamic_DES_KNN_under,Dynamic_DES_KNN_over,Dynamic_DES_KNN_hybrid,Dynamic_DES_KNN_all6
O2 + N14,0.4355,0.4321,0.4913,0.3937,0.4704,0.4599,0.4146,0.4530,0.4146,0.4634,0.4390,0.4321
O4 + N12,0.3449,0.5052,0.5087,0.4669,0.4983,0.5157,0.5401,0.5401,0.4878,0.4739,0.5226,0.4774
O6 + N10,0.4425,0.4808,0.5017,0.3763,0.4808,0.4948,0.5436,0.4948,0.5575,0.4530,0.4634,0.5331
O8 + N8,0.4111,0.3484,0.4390,0.3728,0.4425,0.3310,0.4495,0.4704,0.4181,0.4808,0.4564,0.3240
O10 + N6,0.4286,0.3659,0.4181,0.3693,0.3728,0.4042,0.4042,0.3101,0.3868,0.3972,0.3380,0.4355
O12 + N4,0.3484,0.4495,0.3833,0.2787,0.3693,0.4425,0.4321,0.2997,0.3519,0.3798,0.3798,0.3066
O14 + N2,0.4321,0.2300,0.2544,0.3066,0.3171,0.2857,0.3171,0.3275,0.3554,0.2857,0.2857,0.3171
avg,0.4062,0.4017,0.4281,0.3664,0.4216,0.4191,0.4430,0.4136,0.4246,0.4191,0.4121,0.4037
