dataset,Old_under,Old_over,Old_hybrid,New_under,New_over,New_hybrid,OldNew_under,OldNew_over,OldNew_hybrid,2models_subsets_mean,3models_subsets_mean,4models_subsets_mean,5models_subsets_mean,6models_subsets_mean
O2 + N14,0.0567,0.0510,0.0497,0.1966,0.1287,0.1536,0.1689,0.1018,0.1215,0.1252,0.1257,0.1247,0.1231,0.1262
O4 + N12,0.0520,0.0598,0.0640,0.2240,0.1518,0.1963,0.1629,0.1082,0.1448,0.1431,0.1417,0.1409,0.1464,0.1397
O6 + N10,0.0802,0.0769,0.0761,0.2166,0.1553,0.2298,0.1827,0.1337,0.1573,0.1577,0.1529,0.1559,0.1593,0.1596
O8 + N8,0.0988,0.0715,0.0905,0.2632,0.1875,0.2261,0.2214,0.1458,0.1721,0.1829,0.1867,0.1859,0.1816,0.1880
O10 + N6,0.1434,0.0977,0.1416,0.2934,0.2230,0.2531,0.2761,0.1643,0.2107,0.2173,0.2210,0.2256,0.2355,0.2432
O12 + N4,0.1577,0.1312,0.1700,0.2885,0.2628,0.2451,0.2708,0.1957,0.2218,0.2343,0.2450,0.2523,0.2564,0.2583
O14 + N2,0.2442,0.1345,0.1808,0.2524,0.1956,0.2450,0.2926,0.2022,0.2398,0.2540,0.2577,0.2550,0.2576,0.2626
avg,0.1190,0.0889,0.1104,0.2478,0.1864,0.2213,0.2251,0.1502,0.1811,0.1878,0.1901,0.1915,0.1943,0.1968
