dataset,Dynamic_KNORA_E_under,Dynamic_KNORA_E_over,Dynamic_KNORA_E_hybrid,Dynamic_KNORA_E_all6,Dynamic_KNORA_U_under,Dynamic_KNORA_U_over,Dynamic_KNORA_U_hybrid,Dynamic_KNORA_U_all6,Dynamic_DES_KNN_under,Dynamic_DES_KNN_over,Dynamic_DES_KNN_hybrid,Dynamic_DES_KNN_all6
O2 + N14,0.1758,0.1011,0.1103,0.1254,0.1691,0.1019,0.1221,0.1268,0.1670,0.1061,0.1149,0.1251
O4 + N12,0.1486,0.1063,0.1446,0.1564,0.1630,0.1090,0.1454,0.1402,0.1503,0.1184,0.1451,0.1538
O6 + N10,0.1790,0.1326,0.1605,0.1768,0.1830,0.1337,0.1576,0.1597,0.1580,0.1353,0.1628,0.1593
O8 + N8,0.2245,0.1531,0.1755,0.2036,0.2214,0.1458,0.1723,0.1880,0.2308,0.1336,0.1751,0.2048
O10 + N6,0.2528,0.1717,0.2124,0.2406,0.2765,0.1643,0.2109,0.2432,0.2984,0.1747,0.2197,0.2402
O12 + N4,0.2656,0.2030,0.2238,0.2698,0.2711,0.1957,0.2220,0.2594,0.2675,0.2092,0.2167,0.2785
O14 + N2,0.2520,0.1982,0.2192,0.2607,0.2931,0.2022,0.2398,0.2626,0.2873,0.2025,0.2291,0.2741
avg,0.2141,0.1523,0.1780,0.2048,0.2253,0.1504,0.1814,0.1971,0.2228,0.1543,0.1805,0.2051
