dataset,Dynamic_KNORA_E_under,Dynamic_KNORA_E_over,Dynamic_KNORA_E_hybrid,Dynamic_KNORA_E_all6,Dynamic_KNORA_U_under,Dynamic_KNORA_U_over,Dynamic_KNORA_U_hybrid,Dynamic_KNORA_U_all6,Dynamic_DES_KNN_under,Dynamic_DES_KNN_over,Dynamic_DES_KNN_hybrid,Dynamic_DES_KNN_all6
O1 + N7,0.4333,0.4892,0.4029,0.4453,0.5953,0.4938,0.4361,0.5085,0.3992,0.4928,0.4236,0.5390
O2 + N6,0.4827,0.4629,0.4781,0.3844,0.4278,0.4716,0.4832,0.4707,0.4808,0.4707,0.4915,0.5205
O3 + N5,0.4301,0.4333,0.4319,0.4818,0.4536,0.4375,0.4222,0.4495,0.4605,0.4361,0.4393,0.4273
O4 + N4,0.3572,0.4476,0.4928,0.4412,0.3941,0.4536,0.5021,0.4624,0.3816,0.4536,0.5016,0.4287
O5 + N3,0.4712,0.4610,0.4112,0.4296,0.4246,0.4629,0.3839,0.4384,0.4084,0.4619,0.3973,0.3683
O6 + N2,0.4596,0.4744,0.4855,0.5035,0.4513,0.4758,0.4928,0.4352,0.4379,0.4744,0.4915,0.5491
O7 + N1,0.5588,0.4495,0.5828,0.5528,0.5228,0.4536,0.4070,0.5593,0.4975,0.4550,0.4066,0.6248
avg,0.4561,0.4597,0.4693,0.4627,0.4671,0.4641,0.4468,0.4749,0.4380,0.4635,0.4502,0.4940
