dataset,Dynamic_KNORA_E_under,Dynamic_KNORA_E_over,Dynamic_KNORA_E_hybrid,Dynamic_KNORA_E_all6,Dynamic_KNORA_U_under,Dynamic_KNORA_U_over,Dynamic_KNORA_U_hybrid,Dynamic_KNORA_U_all6,Dynamic_DES_KNN_under,Dynamic_DES_KNN_over,Dynamic_DES_KNN_hybrid,Dynamic_DES_KNN_all6
O1 + N7,0.6082,0.6319,0.6403,0.6321,0.6115,0.6328,0.6395,0.6395,0.6001,0.6329,0.6403,0.6361
O2 + N6,0.6096,0.6355,0.6413,0.6293,0.6116,0.6381,0.6453,0.6455,0.6061,0.6378,0.6444,0.6422
O3 + N5,0.6220,0.6390,0.6477,0.6307,0.6217,0.6395,0.6493,0.6477,0.6210,0.6397,0.6489,0.6439
O4 + N4,0.6293,0.6424,0.6501,0.6348,0.6275,0.6454,0.6524,0.6511,0.6259,0.6452,0.6519,0.6479
O5 + N3,0.6239,0.6460,0.6544,0.6372,0.6234,0.6476,0.6540,0.6533,0.6210,0.6474,0.6542,0.6484
O6 + N2,0.6271,0.6442,0.6539,0.6418,0.6267,0.6445,0.6559,0.6546,0.6252,0.6445,0.6556,0.6515
O7 + N1,0.6222,0.6405,0.6510,0.6416,0.6244,0.6429,0.6510,0.6514,0.6179,0.6428,0.6515,0.6489
avg,0.6203,0.6399,0.6484,0.6354,0.6210,0.6415,0.6496,0.6490,0.6167,0.6415,0.6495,0.6456
