dataset,Dynamic_KNORA_E_under,Dynamic_KNORA_E_over,Dynamic_KNORA_E_hybrid,Dynamic_KNORA_E_all6,Dynamic_KNORA_U_under,Dynamic_KNORA_U_over,Dynamic_KNORA_U_hybrid,Dynamic_KNORA_U_all6,Dynamic_DES_KNN_under,Dynamic_DES_KNN_over,Dynamic_DES_KNN_hybrid,Dynamic_DES_KNN_all6
O1 + N7,0.2285,0.2420,0.2414,0.2441,0.2261,0.2424,0.2428,0.2457,0.2228,0.2420,0.2405,0.2434
O2 + N6,0.2261,0.2408,0.2445,0.2420,0.2211,0.2420,0.2484,0.2477,0.2240,0.2421,0.2439,0.2482
O3 + N5,0.2303,0.2476,0.2488,0.2427,0.2333,0.2484,0.2468,0.2473,0.2336,0.2478,0.2479,0.2495
O4 + N4,0.2368,0.2474,0.2492,0.2425,0.2368,0.2492,0.2495,0.2542,0.2347,0.2493,0.2503,0.2489
O5 + N3,0.2366,0.2521,0.2564,0.2492,0.2352,0.2531,0.2575,0.2577,0.2334,0.2524,0.2564,0.2486
O6 + N2,0.2382,0.2470,0.2578,0.2456,0.2363,0.2472,0.2593,0.2541,0.2371,0.2467,0.2590,0.2522
O7 + N1,0.2326,0.2496,0.2521,0.2457,0.2332,0.2514,0.2603,0.2540,0.2313,0.2519,0.2608,0.2441
avg,0.2327,0.2467,0.2500,0.2446,0.2317,0.2477,0.2521,0.2515,0.2310,0.2475,0.2513,0.2478
