old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.1534,0.1596,0.1485,0.1432,0.1512
2+14,0.1562,0.1312,0.1633,0.1416,0.1481
3+13,0.1383,0.1478,0.1436,0.1473,0.1442
4+12,0.1824,0.1610,0.1662,0.1795,0.1723
5+11,0.1614,0.1248,0.1594,0.1859,0.1579
6+10,0.1697,0.1623,0.1730,0.1872,0.1731
7+9,0.1592,0.1763,0.1646,0.1561,0.1640
8+8,0.1353,0.1536,0.1955,0.1579,0.1606
9+7,0.1386,0.1376,0.1589,0.1806,0.1539
10+6,0.1403,0.1704,0.1786,0.1736,0.1657
11+5,0.1121,0.1657,0.1638,0.1721,0.1535
12+4,0.1334,0.1612,0.1515,0.1533,0.1499
13+3,0.1469,0.1248,0.1707,0.1436,0.1465
14+2,0.1547,0.1390,0.1461,0.1576,0.1493
avg,0.1487,0.1511,0.1631,0.1628,0.1564
