,none,undersampling,oversampling,hybrid,avg
2+14,0.2640,0.2382,0.1273,0.1286,0.1895
4+12,0.2472,0.2345,0.1173,0.1207,0.1799
6+10,0.2165,0.2380,0.1277,0.1225,0.1762
8+8,0.2517,0.2526,0.1146,0.1244,0.1858
10+6,0.2363,0.2545,0.1198,0.1165,0.1818
12+4,0.2405,0.2616,0.1200,0.1157,0.1844
14+2,0.2082,0.2595,0.1380,0.1261,0.1829
avg,0.2378,0.2484,0.1235,0.1221,0.1829
