old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.1206,0.1116,0.0800,0.1176,0.1075
2+14,0.1168,0.1648,0.0792,0.0931,0.1135
3+13,0.1355,0.1276,0.0979,0.0904,0.1128
4+12,0.0907,0.1075,0.0947,0.0885,0.0954
5+11,0.1033,0.1865,0.1041,0.0867,0.1202
6+10,0.0975,0.1205,0.0809,0.1133,0.1030
7+9,0.1274,0.1003,0.0932,0.1386,0.1149
8+8,0.1576,0.1274,0.0599,0.1707,0.1289
9+7,0.1317,0.1397,0.0949,0.1012,0.1169
10+6,0.1628,0.1014,0.0755,0.1234,0.1158
11+5,0.2301,0.1090,0.1190,0.1292,0.1468
12+4,0.1778,0.1054,0.1480,0.1558,0.1467
13+3,0.1475,0.1677,0.1038,0.1712,0.1475
14+2,0.1213,0.1357,0.0935,0.1506,0.1253
avg,0.1372,0.1289,0.0946,0.1236,0.1211
