new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.0813,0.0672,0.0892,0.0977,0.0838
14yr,0.0766,0.0859,0.0912,0.0953,0.0872
13yr,0.0809,0.0766,0.0967,0.1000,0.0886
12yr,0.0767,0.1129,0.1096,0.0997,0.0997
11yr,0.1111,0.1061,0.1139,0.1184,0.1124
10yr,0.1141,0.0900,0.1386,0.0972,0.1100
9yr,0.1258,0.1516,0.1270,0.1171,0.1304
8yr,0.1646,0.2072,0.1228,0.1237,0.1546
7yr,0.1287,0.1342,0.1558,0.1289,0.1369
6yr,0.1638,0.1154,0.1506,0.1262,0.1390
5yr,0.1862,0.1308,0.1491,0.1246,0.1477
4yr,0.1599,0.1622,0.1500,0.1249,0.1493
3yr,0.1644,0.1832,0.1116,0.1118,0.1428
2yr,0.1938,0.2077,0.1318,0.1182,0.1629
avg,0.1306,0.1308,0.1241,0.1131,0.1247
