old_years,none,undersampling,oversampling,hybrid,avg
1yr,1.0000,0.5157,0.2598,0.5089,0.5711
2yr,0.8877,0.1438,0.4105,0.1091,0.3878
3yr,0.7392,0.7354,0.0765,0.1353,0.4216
4yr,0.4213,0.1994,0.2013,0.1135,0.2339
5yr,0.1613,0.1501,0.1124,0.1391,0.1407
6yr,0.2663,0.2812,0.1110,0.0828,0.1853
7yr,0.1548,0.1890,0.1059,0.1298,0.1449
8yr,0.1892,0.1357,0.0793,0.1392,0.1359
9yr,0.2694,0.0980,0.1270,0.1953,0.1724
10yr,0.2729,0.1294,0.1034,0.1320,0.1594
11yr,0.1676,0.0978,0.1215,0.1106,0.1244
12yr,0.1428,0.1669,0.0933,0.0948,0.1244
13yr,0.1084,0.1400,0.1205,0.0876,0.1141
14yr,0.1499,0.1322,0.1025,0.1001,0.1212
avg,0.3522,0.2225,0.1446,0.1484,0.2169
