old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.5017,0.4913,0.3484,0.4564,0.4495
2+14,0.4983,0.5540,0.3833,0.3728,0.4521
3+13,0.4948,0.5052,0.3937,0.3798,0.4434
4+12,0.4808,0.4808,0.4495,0.4634,0.4686
5+11,0.4669,0.5854,0.4634,0.4739,0.4974
6+10,0.4704,0.5331,0.4146,0.5923,0.5026
7+9,0.5470,0.5017,0.4390,0.5749,0.5157
8+8,0.5505,0.5261,0.3798,0.6969,0.5383
9+7,0.4843,0.5052,0.4286,0.5192,0.4843
10+6,0.5889,0.4878,0.4077,0.5854,0.5174
11+5,0.6307,0.5017,0.5331,0.6028,0.5671
12+4,0.6028,0.4739,0.5889,0.6237,0.5723
13+3,0.5679,0.5331,0.4983,0.6307,0.5575
14+2,0.5087,0.4983,0.3868,0.6237,0.5044
avg,0.5281,0.5127,0.4368,0.5426,0.5050
