old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0234,0.0286,0.0223,0.0199,0.0235
2yr,0.0246,0.0427,0.0215,0.0325,0.0303
3yr,0.0281,0.0283,0.0244,0.0299,0.0277
4yr,0.0322,0.0366,0.0274,0.0375,0.0334
5yr,0.0383,0.0385,0.0323,0.0364,0.0364
6yr,0.0309,0.0368,0.0341,0.0498,0.0379
7yr,0.0328,0.0418,0.0480,0.0430,0.0414
8yr,0.0466,0.0474,0.0442,0.0424,0.0452
9yr,0.0401,0.0629,0.0463,0.0452,0.0487
10yr,0.0461,0.0729,0.0634,0.0583,0.0602
11yr,0.0656,0.0778,0.0582,0.0629,0.0661
12yr,0.0700,0.0619,0.0744,0.0696,0.0690
13yr,0.0858,0.0729,0.0599,0.0740,0.0731
14yr,0.0756,0.0774,0.0661,0.0895,0.0771
avg,0.0457,0.0519,0.0445,0.0493,0.0479
