new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.7710,0.7758,0.7619,0.8069,0.7789
14yr,0.7753,0.7657,0.7425,0.7850,0.7671
13yr,0.7851,0.7897,0.7664,0.7925,0.7834
12yr,0.7765,0.8032,0.7763,0.7965,0.7881
11yr,0.7891,0.7767,0.7766,0.8220,0.7911
10yr,0.7902,0.7814,0.7770,0.8149,0.7909
9yr,0.8067,0.7976,0.7683,0.8307,0.8008
8yr,0.7840,0.7830,0.7812,0.8076,0.7890
7yr,0.7850,0.7870,0.7632,0.8253,0.7901
6yr,0.7773,0.7859,0.7656,0.8219,0.7877
5yr,0.7941,0.7897,0.7749,0.8186,0.7943
4yr,0.7787,0.7739,0.7745,0.8114,0.7846
3yr,0.7740,0.7780,0.7611,0.8098,0.7807
2yr,0.6826,0.7097,0.7525,0.7905,0.7338
avg,0.7764,0.7784,0.7673,0.8095,0.7829
