method,hybrid,none,oversampling,undersampling
Old,0.2775,0.5388,0.2456,0.4194
New,0.4555,0.4059,0.3233,0.4012
Retrain,0.3728,0.3937,0.3798,0.4460
Finetune,0.5426,0.5281,0.4368,0.5127
