new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.5331,0.4739,0.7073,0.5052,0.5549
14yr,0.4739,0.5331,0.6655,0.5401,0.5531
13yr,0.4808,0.4425,0.6063,0.5575,0.5218
12yr,0.4739,0.5052,0.6725,0.6063,0.5645
11yr,0.5296,0.5819,0.6063,0.5401,0.5645
10yr,0.5052,0.5261,0.6585,0.4460,0.5340
9yr,0.5226,0.6098,0.6934,0.4948,0.5801
8yr,0.6307,0.6585,0.6167,0.5784,0.6211
7yr,0.6028,0.5854,0.7909,0.5854,0.6411
6yr,0.6655,0.5505,0.7875,0.6028,0.6516
5yr,0.6899,0.5993,0.6202,0.5122,0.6054
4yr,0.7247,0.7666,0.6760,0.5261,0.6733
3yr,0.7456,0.7944,0.6411,0.5296,0.6777
2yr,0.7387,0.7561,0.7317,0.5993,0.7064
avg,0.5941,0.5988,0.6767,0.5445,0.6035
