,none,undersampling,oversampling,hybrid,avg
2+14,0.8032,0.7751,0.7746,0.7989,0.7879
4+12,0.7800,0.7722,0.7792,0.7977,0.7823
6+10,0.7582,0.7970,0.7647,0.7930,0.7782
8+8,0.7854,0.7902,0.7595,0.8027,0.7845
10+6,0.7767,0.7936,0.7635,0.7796,0.7784
12+4,0.7821,0.7818,0.7515,0.7821,0.7744
14+2,0.7898,0.7933,0.7931,0.8087,0.7962
avg,0.7822,0.7862,0.7694,0.7947,0.7831
